PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
SO,Boario,PO014066OU0001,TIRANO - Foro Boario,1589850,5118181,425.776,,X,1,,,,,,,403.68,404.58,402,399.32,397.18,395.51,395.01,393.85,393.89,392.17,392.2,393.68,396.18,397.63,397.18,396.2,394.98,,,396.72,395.706,394.256,393.366
BG,BOLGARE - Lartigianabottoni S.p.a.,160281385,"via Papa Giovanni XXIII, 26",1563060,5053915,199,,X,2,,,,,,162.25,162,,,,161.3,160.56,159.5,157.53,157.66,158.37,,161.37,162.4,163.72,164.33,163.68,,,,,162.16,160.49,158.76
MN,BORGOFRANCO SUL PO,15,Residenza alla Pace,1673730,4991070,13.6,,,2,,,,,,,10.34,9.9,9.4,9.44,9.37,9.17,9.16,8.85,,,,,,,,9.9,,,,10.2,9.3,,
PV,BORNASCO 1,7,presso Municipio,1517200,5012745,82,,X,1,,,,,,,,,,77.67,77.39,77.47,77.21,76.95,77.1,77.84,,77.38,77.38,77.83,78.12,77.86,,,,77.83,77.5,,
MN,BOZZOLO,17,COMUNE,1616760,4995900,27.3,,,,,,,,,,24.1,23.9,23.8,24.1,23.82,23.96,23.97,,,,,,,,,,,,,,,,
CO,BREGNANO - Cons. Lura Ambiente - pozzo 6,7(9),loc. Puginate,1503775,5061925,285,,X,2,,,,,,,227.8,,,229.2,229.2,,,,228.5,228.6,228.4,228.4,,,,,,,,228.1,228.1,228.4,
BG,BREMBATE - Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716,5050800,181,,X,3,,,,,,145.14,145.27,145.43,,144.95,144.64,144.07,143.77,143.36,143.34,143.15,,144.43,144.5,144.97,144.88,140.4,,,,143.9,144.5,144.05,143.58
PV,BREME 1,52,Presso Municipio,1470225,4997100,95.7,,,,,,,,,,,,93.38,93.26,92.95,92.6,92.52,,,,,,,,,,,,,,,,
CO,BRENNA - Soc. Pragma Spa - pozzo 3,11(15),Loc. Pozzolo,1514972,5064371,342,,X,2,,,,,,,287.3,,,286,286,285.8,285.15,,278.3,,,,284.75,,,,,,,287,286.7,286.3,
BS,BRESCIA - ASM,8,via Brianze,1596060,5046080,164.9,,X,2,,,,,,135.2,127.9,124.5,,,,,,,,,,,,,119.3,,,,,122.7,,,
