CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z,COD_PTUA16,SIGLA
"980040007",CAP,BORGHETTO LODIGIANO                                                                                                                                                                                                                                           ,Casoni 3                                                                                                                                                                                                                                                      ,1539108,5004665,60.63,IT03GWBISSMPLAS,LO
"980050002",CAP,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1533421,5013656,77.78,IT03GWBISSMPLAS,LO
"980050003",CAP,BORGO SAN GIOVANNI                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1533474,5013677,77.76,IT03GWBISSMPLAS,LO
"980070001",CAP,CAMAIRAGO                                                                                                                                                                                                                                                     ,via 4 novembre                                                                                                                                                                                                                                                ,1556980,5006056,60.4,IT03GWBISSMPLAS,LO
"980100003",CAP,CASALPUSTERLENGO                                                                                                                                                                                                                                              ,via Cadorna                                                                                                                                                                                                                                                   ,1550786,5003618,60.05,IT03GWBISSMPLAS,LO
"980140001",CAP,CASTIGLIONE D'ADDA                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1554445,5007722,60.31,IT03GWBISSMPLAS,LO
"980140003",CAP,CASTIGLIONE D'ADDA                                                                                                                                                                                                                                            ,Astronauti                                                                                                                                                                                                                                                    ,1554303,5006895,62.79,IT03GWBISSMPLAS,LO
"980170000",CAP,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                              ,1544810,5014760,69.28,IT03GWBISSMPLAS,LO
"980170003",CAP,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Via Valsecchi serb.                                                                                                                                                                                                                                           ,1547241,5014694,67.66,IT03GWBISSMPLAS,LO
"980170012",CAP,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Soltarico                                                                                                                                                                                                                                                     ,1544810,5014760,69.28,IT03GWBISSMPLAS,LO
"980170064",CAP,CAVENAGO D'ADDA                                                                                                                                                                                                                                               ,Soltarico                                                                                                                                                                                                                                                     ,1544794,5014715,69.4,IT03GWBISSMPLAS,LO
"980230001",CAP,CORNOVECCHIO                                                                                                                                                                                                                                                  ,Municipio                                                                                                                                                                                                                                                     ,1562792,4998470,52.67,IT03GWBISSMPLAS,LO
"980260001",CAP,FOMBIO                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                              ,1554199,4998915,56.85,IT03GWBISSMPLAS,LO
"980260002",CAP,FOMBIO                                                                                                                                                                                                                                                        ,via Giovanni XXIII                                                                                                                                                                                                                                            ,1554292,4998880,55.57,IT03GWBISSMPLAS,LO
"980320002",CAP,LODI VECCHIO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1532570,5016525,80.38,IT03GWBISSMPLAS,LO
"980330001",CAP,MACCASTORNA                                                                                                                                                                                                                                                   ,via Roma                                                                                                                                                                                                                                                      ,1567299,4999597,40.28,IT03GWBISSMPLAS,LO
"980350002",CAP,MALEO                                                                                                                                                                                                                                                         ,Piazza 25 Aprile                                                                                                                                                                                                                                              ,1560100,5001920,57.44,IT03GWBISSMPLAS,LO
"980370001",CAP,MASSALENGO                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                              ,1538714,5012115,73.35,IT03GWBISSMPLAS,LO
"980370002",CAP,MASSALENGO                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                              ,1539121,5012200,74.14,IT03GWBISSMPLAS,LO
"980400001",CAP,MONTANASO LOMBARDO                                                                                                                                                                                                                                            ,Comune                                                                                                                                                                                                                                                        ,1535877,5019968,82.67,IT03GWBISSMPLAS,LO
"980420003",CAP,ORIO LITTA                                                                                                                                                                                                                                                    ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,5000952,65.02,IT03GWBISSMPLAS,LO
"980450001",CAP,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,5013741,78.92,IT03GWBISSMPLAS,LO
"980480003",CAP,SAN MARTINO IN STRADA                                                                                                                                                                                                                                         ,via F.Aporti-serb.                                                                                                                                                                                                                                            ,1541513,5013415,73.19,IT03GWBISSMPLAS,LO
"980480004",CAP,SAN MARTINO IN STRADA                                                                                                                                                                                                                                         ,via F.Aporti-serb.                                                                                                                                                                                                                                            ,1541540,5013330,73.24,IT03GWBISSMPLAS,LO
"980530003",CAP,SENNA LODIGIANA                                                                                                                                                                                                                                               ,via Acquedotto                                                                                                                                                                                                                                                ,1546645,4999934,60.91,IT03GWBISSMPLAS,LO
"980560001",CAP,TAVAZZANO CON VILLAVESCO                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                              ,1531871,5020056,82.34,IT03GWBISSMPLAS,LO
"980580002",CAP,TURANO LODIGIANO                                                                                                                                                                                                                                              ,via 25 Aprile                                                                                                                                                                                                                                                 ,1548759,5010831,65.49,IT03GWBISSMPLAS,LO
"980020001",CAP,BERTONICO                                                                                                                                                                                                                                                     ,via Garibaldi                                                                                                                                                                                                                                                 ,1552834,5009331,62.65,IT03GWBISSMPLAS,LO
"980020002",CAP,BERTONICO                                                                                                                                                                                                                                                     ,via Garibaldi                                                                                                                                                                                                                                                 ,1552858,5009264,62.29,IT03GWBISSMPLAS,LO
"980060001",CAP,BREMBIO                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1545041,5006864,66.42,IT03GWBISSMPLAS,LO
"980090001",CAP,CASALMAIOCCO                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                              ,1528912,5022201,87.02,IT03GWBISSMPLAN,LO
