gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
73,PO0160240R0296,3,2017-01-01,,no,,,176.58,,232.0,,PTUA2022,
74,PO0160240R0296,3,2017-02-01,,no,,,177.12,,232.0,,PTUA2022,
75,PO0160240R0296,3,2017-03-01,,no,,,175.3,,232.0,,PTUA2022,
76,PO0160240R0296,3,2017-04-01,,no,,,175.02,,232.0,,PTUA2022,
77,PO0160240R0296,3,2017-05-01,,no,,,180.54,,232.0,,PTUA2022,
78,PO0160240R0296,3,2017-06-01,,no,,,180.93,,232.0,,PTUA2022,
79,PO0160240R0296,3,2017-07-01,,no,,,182.0,,232.0,,PTUA2022,
80,PO0160240R0296,3,2017-08-01,,no,,,182.28,,232.0,,PTUA2022,
81,PO0160240R0296,3,2017-09-01,,no,,,182.07,,232.0,,PTUA2022,
82,PO0160240R0296,3,2017-10-01,,no,,,180.81,,232.0,,PTUA2022,
83,PO0160240R0296,3,2017-11-01,,no,,,179.69,,232.0,,PTUA2022,
84,PO0160240R0296,3,2017-12-01,,no,,,178.45,,232.0,,PTUA2022,
85,PO0160240R0296,3,2018-01-01,,no,,,178.2,,232.0,,PTUA2022,
86,PO0160240R0296,3,2018-02-01,,no,,,177.29,,232.0,,PTUA2022,
87,PO0160240R0296,3,2018-03-01,,no,,,177.66,,232.0,,PTUA2022,
88,PO0160240R0296,3,2018-04-01,,no,,,179.2,,232.0,,PTUA2022,
89,PO0160240R0296,3,2018-05-01,,no,,,181.16,,232.0,,PTUA2022,
90,PO0160240R0296,3,2018-06-01,,no,,,181.7,,232.0,,PTUA2022,
91,PO0160240R0296,3,2018-07-01,,no,,,181.92,,232.0,,PTUA2022,
92,PO0160240R0296,3,2018-08-01,,no,,,182.11,,232.0,,PTUA2022,
93,PO0160240R0296,3,2018-09-01,,no,,,181.24,,232.0,,PTUA2022,
94,PO0160240R0296,3,2018-12-01,,no,,,182.09,,232.0,,PTUA2022,
95,PO0160240R0296,3,2019-01-01,,no,,,179.12,,232.0,,PTUA2022,
96,PO0160240R0296,3,2019-02-01,,no,,,178.32,,232.0,,PTUA2022,
97,PO0160240R0296,3,2019-03-01,,no,,,177.75,,232.0,,PTUA2022,
98,PO0160240R0296,3,2019-04-01,,no,,,178.53,,232.0,,PTUA2022,
99,PO0160240R0296,3,2019-05-01,,no,,,179.48,,232.0,,PTUA2022,
100,PO0160240R0296,3,2019-06-01,,no,,,181.15,,232.0,,PTUA2022,
101,PO0160240R0296,3,2019-07-01,,no,,,181.8,,232.0,,PTUA2022,
102,PO0160240R0296,3,2019-08-01,,no,,,182.25,,232.0,,PTUA2022,
103,PO0160240R0296,3,2019-09-01,,no,,,181.85,,232.0,,PTUA2022,
104,PO0160240R0296,3,2019-10-01,,no,,,181.63,,232.0,,PTUA2022,
105,PO0160240R0296,3,2019-12-01,,no,,,182.27,,232.0,,PTUA2022,
106,PO0160240R0296,3,2020-01-01,,no,,,181.94,,232.0,,PTUA2022,
107,PO0160240R0296,3,2020-02-01,,no,,,180.29,,232.0,,PTUA2022,
108,PO0160240R0296,3,2020-06-01,,no,,,183.7,,232.0,,PTUA2022,
109,PO0160240R0296,3,2020-07-01,,no,,,183.05,,232.0,,PTUA2022,
