CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,CODICETOOL
BORGOFRANCO SUL PO15,MN,BORGOFRANCO SUL PO,,15,Residenza alla Pace,1673730.0,4991070.0,13.6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BORGOFRANCO SUL PO15
BORNASCO7,PV,BORNASCO,1,7,presso Municipio,1517200.0,5012745.0,82.0,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BORNASCO7
BOZZOLO17,MN,BOZZOLO,,17,COMUNE,1616760.0,4995900.0,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOZZOLO17
BREGNANO7(9),CO,BREGNANO,Cons. Lura Ambiente   pozzo 6,7(9),loc. Puginate,1503775.0,5061925.0,285.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREGNANO7(9)
BREMBATE160370011,BG,BREMBATE,Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716.0,5050800.0,181.0,,X,3,93.0,116.0,93.0,96.0,102.31,116.0,,,,,,,,,,,,,,,,,,,,,29.0,31.0,43.84,,125.0,BREMBATE160370011
BREME 152,PV,BREME,1,52,Presso Municipio,1470225.0,4997100.0,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREME52
BRENNA11(15),CO,BRENNA,Soc. Pragma Spa   pozzo 3,11(15),Loc. Pozzolo,1514972.0,5064371.0,342.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRENNA11(15)
BRESCIA8,BS,BRESCIA,ASM,8,via Brianze,1596060.0,5046080.0,164.9,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRESCIA8
BRUGHERIO150340123,MI - MONZA,BRUGHERIO,CAP,150340123,via Volano FEM,1523293.0,5042878.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRUGHERIO150340123
BUBBIANO150350003,MI - Par.,BUBBIANO,,150350003,via Noè,1501099.0,5019569.0,104.19,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBBIANO150350003
BUCCINASCO150360002,MI - Par.,BUCCINASCO,,150360002,via  Lario,1508474.0,5029898.0,107.39,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUCCINASCO150360002
