CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,CODICETOOL
FOMBIO980260002,LO,FOMBIO,CAP                                 ,980260002,via Giovanni XXIII,1554292.0,4998880.0,42.264,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOMBIO980260002
GALLARATEPO1207000900T0,VA,GALLARATE,,PO1207000900T0,via Alberone - via Ferrari,1483140.0,5055620.0,235.0,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GALLARATEPO1207000900T0
GALLARATEPO1207002201T0,VA,GALLARATE,,PO1207002201T0,via Monte S. Martino,1482360.0,5058150.0,271.0,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GALLARATEPO1207002201T0
GAMBARA15,BS,GAMBARA,ASM,15,via Fiesse,1603746.0,5011956.0,47.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAMBARA15
GARLASCO 223,PV,GARLASCO,2,23,via Albera,1494570.0,5003840.0,91.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARLASCO23
GARLASCO 326,PV,GARLASCO,3,26,via Bozzola - Palazzeto,1494065.0,5004980.0,90.8,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARLASCO26
GAZZUOLO49,MN,GAZZUOLO,,49,ITALGAS (VIADANA),1624010.0,4992410.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAZZUOLO49
GENZONE 110,PV,GENZONE,1,10,Via cairoli,1527575.0,5002880.0,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENZONE10
GERENZANOPO1207502002T0,VA,GERENZANO,,PO1207502002T0,Discarica - controllo,1497940.0,5052150.0,220.65,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERENZANOPO1207502002T0
GESSATE151060008,MI-Città,GESSATE,,151060008,p.zza Aturia 9,1534449.0,5044895.0,128.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GESSATE151060008
GHEDI16,BS,GHEDI,ARPA,16,VIA CARAVAGGIO,1600058.0,5027965.0,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHEDI16
GIUSSAGO 28,PV,GIUSSAGO,2,8,via Papa Giov. XXIII ,1511200.0,5014400.0,92.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIUSSAGO8
GIUSSAGO 563,PV,GIUSSAGO,5,63,Via F.lli Cervi,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIUSSAGO63
GONZAGA53,MN,GONZAGA,,53,via degli Arduini 22 - Bondeno,1646490.0,4978450.0,19.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GONZAGA53
GONZAGA54,MN,GONZAGA,,54,Grecav Officine S.p.a.,1642920.0,4979930.0,20.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GONZAGA54
GORLE161150118,BG,GORLE,Tintex S.p.a.,161150118,"via Celadina, 2",1555493.0,5060225.0,261.5,,X,2,56.0,68.0,56.0,68.0,,,,,,,,,,,,,,,,,,,,,,,50.0,50.5,10.8,1975.0,70.5,GORLE161150118
GRAFFIGNANA980280001,LO,GRAFFIGNANA,CAP                    ,980280001,via Milano - serb.,1535471.0,5006700.0,64.27,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAFFIGNANA980280001
GRASSOBBIO161170112,BG,GRASSOBBIO,Cava delle Capannelle S.r.l.,161170112,"via Capannelle, 19",1557640.0,5053380.0,195.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,GRASSOBBIO161170112
GRONTARDO19050.0002,CR,GRONTARDO,,19050.0002,Fraz. Levata,1589592.0,5006001.0,47.0,,X,3,156.5,169.0,156.5,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,GRONTARDO19050.0002
GUIDIZZOLO55,MN,GUIDIZZOLO,,55,Cobelli Luigi,1622460.0,5020780.0,73.2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUIDIZZOLO55
GUSSOLA19052.0004,CR,GUSSOLA,,19052.0004,via Bergamonti,1606756.0,4984844.0,26.0,,X,2,74.4,77.4,74.4,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,GUSSOLA19052.0004
IMBERSAGOPC097039001,LC,IMBERSAGO,,PC097039001,ROBBIATE1- via dei Mulini,1535411.0,5060791.0,198.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMBERSAGOPC097039001
IMBERSAGOPC097039003,LC,IMBERSAGO,,PC097039003,PONTICELLO- Strada Alzaia,1534898.0,5062596.0,196.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMBERSAGOPC097039003
INVERIGO18,CO,INVERIGO,Comune,18,C.na Rocchina,1517738.0,5065790.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVERIGO18
INZAGO151140006,MI,INZAGO,,151140006,vill.Residenziale,1536840.0,5041965.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INZAGO151140006
ISOLA DOVARESE19053.0002,CR,ISOLA DOVARESE,,19053.0002,via Fornace,1602524.875,5002716.0,38.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISOLA DOVARESE19053.0002
ISORELLA17,BS,ISORELLA,ASM,17,P.ZA IV NOVEMBRE,1604050.0,5018573.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISORELLA17
ISSO161220512-161220144,BG,ISSO,Boieri Luigi Clariant S.p.a. (Archimica),161220512-161220144,C.na Secchi-S.S. 11 - Padana Superiore,1557501.0,5036628.0,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISSO161220512-161220144
IZANO19054.0003,CR,IZANO,,19054.0003,via Zanesa,1558392.375,5022772.0,77.0,,X,3,128.0,134.0,128.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5,IZANO19054.0003
LAINATE151160008,MI - Par.,LAINATE,,151160008,Lainate Caronasca,1502320.0,5047210.0,180.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAINATE151160008
LANDRIANO 430,PV,LANDRIANO,ASM - 4,30,Strada Cerca,1520920.0,5017805.0,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANDRIANO30
LANGOSCO 246,PV,LANGOSCO,1 - 2,46,,1465575.0,5006900.0,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANGOSCO46
LAZZATE151170003,MI - Par.,LAZZATE,,151170003,via S.Lorenzo-serb.,1506594.0,5058727.0,188.9,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAZZATE151170003
LENO18,BS,LENO,ARPA,18,VIA VIGANOVO 2,1596681.0,5025535.0,70.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LENO18
LEVATE161260105,BG,LEVATE,Acquedotto Pianura Bergamasca,161260105,"via per Levate, 40 - Osio Sotto ",1548179.0,5052042.0,180.9,,X,3,159.0,300.5,159.0,165.0,171.0,177.0,178.0,184.6,194.0,200.0,201.5,215.5,220.0,223.0,225.5,230.0,233.5,238.6,242.5,245.5,259.9,266.5,278.0,281.0,294.5,300.5,22.84,,,1993.0,315.0,LEVATE161260105
LIMIDO COMASCO5,CO,LIMIDO COMASCO,Antiga Spa   pozzo 2,5,via Vicolo Scalini,1498324.0,5059851.0,280.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIDO COMASCO5
LOCATE TRIULZI151250001,MI - Città,LOCATE TRIULZI,,151250001,p.zza Gramsci,1517398.0,5022688.0,96.26,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCATE TRIULZI151250001
LODIVECCHIO980320002,LO,LODIVECCHIO,CAP                     ,980320002,via Cabrini-serb.,1532570.0,5016525.0,74.23,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LODIVECCHIO980320002
LOMELLO53,PV,LOMELLO,,53,,1484075.0,4995560.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOMELLO53
LONATE P.PO1209000902T0,VA,LONATE P.,,PO1209000902T0,via Molinelli - Bellaria,1477670.0,5005023.0,207.4,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONATE P.PO1209000902T0
LONATE P.PO1209000903T0,VA,LONATE P.,,PO1209000903T0,via Molinelli - Bellaria,1477670.0,5050230.0,207.45,,X,PROFONDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONATE P.PO1209000903T0
LONATO19,BS,LONATO,ASM,19,Fenil Nuovo,1615024.0,5035985.0,159.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONATO19
LONATO20,BS,LONATO,ASM,20,MADONNA DELLA SCOPERTA-NUOVO,1623515.0,5028075.0,104.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONATO20
LONATO47,BS,LONATO,ASM,47,Centenaro,1621050.0,5031077.0,103.1,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONATO47
LUINOPO1209202100T0,VA,LUINO,,PO1209202100T0,via Forlanini,1480320.0,5093625.0,214.1,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUINOPO1209202100T0
LURAGO D'ERBA16(23),CO,LURAGO D'ERBA,Soc. Pragma Spa,16(23),Pioppete,1518210.0,5067545.0,320.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LURAGO D'ERBA16(23)
MACARIA63,MN,MACARIA,,63,Mec-Carni S.p.a.,1623050.0,4997930.0,28.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACARIA63
MACCASTORNA980330001,LO,MACCASTORNA,CAP                 ,980330001,via Roma,1567299.0,4999597.0,38.85,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACCASTORNA980330001
MADIGNANO19055.0002,CR,MADIGNANO,,19055.0002,via Dante,1556531.875,5021341.0,72.0,,X,3,141.0,147.0,141.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,MADIGNANO19055.0002
MALAGNINO19056.0003,CR,MALAGNINO,,19056.0003,via Stazione,1587474.25,4998750.0,40.0,,X,2,131.5,134.5,131.5,134.5,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,MALAGNINO19056.0003
MALEO980350002,LO,MALEO,CAP                                  ,980350002,p.zza 25 Aprile,1560100.0,5001920.0,44.76,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALEO980350002
MARCALLO CON CASONE151340004,MI - Par.,MARCALLO CON CASONE,,151340004,via Clerici,1490298.0,5037079.0,137.44,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARCALLO CON CASONE151340004
MARCARIA62,MN,MARCARIA,,62,Trofelli Giudo,1627770.0,4991910.0,23.1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARCARIA62
MARIANO COMENSE16,CO,MARIANO COMENSE,Pozzo 3   Pragma S.P.A,16,Via per Novedrate,1513175.0,5061640.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIANO COMENSE16
MARIANO COMENSE20,CO,MARIANO COMENSE,Soc. Pragma S.P.A   Trotti Grande,20,Via S. d'Acquisto,1514310.0,5060568.0,255.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIANO COMENSE20
MARIANO COMENSE5 bis,CO,MARIANO COMENSE,Pragma S.P.A,5 bis,Via S. D'Acquisto,1514310.0,5060568.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIANO COMENSE5 bis
MARTINENGO161330158,BG,MARTINENGO,Stamperia di Martinengo S.r.l.,161330158,"via Pinetti, 44",1559095.0,5046594.0,150.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTINENGO161330158
MEDE 3nan,PV,MEDE,ASM - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDEnan
MEDIGLIA151390001,MI - Città,MEDIGLIA,,151390001,Via Stephenson,1526616.0,5028755.0,96.36,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIGLIA151390001
MERATEPC097048001,LC,MERATE,,PC097048001,REGONDINO,1531012.0,5061302.0,266.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERATEPC097048001
MEZZAGO151450001,MI,MEZZAGO,,151450001,via Unione,1534736.001,5052942.997,220.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEZZAGO151450001
MILANO151460036,MI - Città,MILANO,Acqued. Anfossi 16,151460036,,1516872.0,5033973.0,115.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151460036
MILANO151460040,MI - Città,MILANO,Acqued. C. Armi 4,151460040,,1512512.0,5035801.0,123.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151460040
MILANO151460290,MI - Città,MILANO,Acqued. C. Feltre 17,151460290,,1518933.0,5037571.0,121.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151460290
MILANO151460413,MI - Città,MILANO,Acqued. C. Ovidio 10,151460413,,1519041.0,5033694.0,109.8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151460413
MILANO151460477,MI - Città,MILANO,Acqued. C. Salemi 8,151460477,,1512360.0,5041410.0,141.5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151460477
MILANO151461120,MI - Città,MILANO,Fogn. PZ 40,151461120,,1513631.0,5033934.0,117.74,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151461120
MILANO151461313,MI - Città,MILANO,Fogn. PZ 43  ,151461313,,1519749.0,5037968.0,119.3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151461313
MILANO151461379,MI - Città,MILANO,Fogn. PZ 54,151461379,,1518799.0,5029419.0,103.4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151461379
MILANO151461435,MI - Città,MILANO,Fogn. PZ 20,151461435,,1509933.0,5031679.0,114.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151461435
MILANO151461534,MI - Città,MILANO,Fogn.PZ 4,151461534,,1510149.0,5040199.0,138.83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILANO151461534
MISANO GERA D'ADDA161350001,BG,MISANO GERA D'ADDA,Amministrazione Comunale,161350001,via Garibaldi,1548577.0,5035708.0,104.1,,X,2,49.0,70.0,49.0,61.0,64.0,70.0,,,,,,,,,,,,,,,,,,,,,2.3,3.0,40.0,1974.0,82.0,MISANO GERA D'ADDA161350001
MISSAGLIAPI097049101,LC,MISSAGLIA,,PI097049101,BRIVIO,1528143.0,5059731.0,274.5,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSAGLIAPI097049101
MONTICHIARI21,BS,MONTICHIARI,ASM,21,Vighizzolo Nuovo,1606945.0,5033055.0,120.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTICHIARI21
MONTICHIARI45,BS,MONTICHIARI,ASM,45,Loc. Ro',1606700.0,5031100.0,104.85,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTICHIARI45
MONTIRONE23,BS,MONTIRONE,ASM,23,via Mercanti,1596004.0,5033224.0,100.8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTIRONE23
MONZA151490084,MI - MONZA,MONZA,AGAM,151490084,pozzo Battisti 2,1521014.0,5048849.0,174.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONZA151490084
MONZAMBANO70,MN,MONZAMBANO,,70,Tosi Giovanni,1631850.0,5023970.0,110.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONZAMBANO70
MORIMONDO151500013,MI - Par.,MORIMONDO,,151500013,Loc. Fallavecchia,1497393.0,5018893.0,103.74,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORIMONDO151500013
MORNAGOPO1210601101T0,VA,MORNAGO,,PO1210601101T0,VINAGO,1480820.0,5064970.0,289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORNAGOPO1210601101T0
MORNAGOPO1210601504T0,VA,MORNAGO,,PO1210601504T0,Montonate,1481720.0,5065240.0,289.7,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORNAGOPO1210601504T0
MORTARA 139,PV,MORTARA,Comune - 1,39,via Marsala,1479160.0,5010480.0,108.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORTARA39
MOZZATE1 (2),CO,MOZZATE,Aqua Seprio spa   pozzo 4,1 (2),via Libertà,1495999.0,5058550.0,262.6,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOZZATE1 (2)
NAVE24,BS,NAVE,ASM,24,Prada,1598442.0,5048284.0,206.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVE24
NERVIANO151540065,MI - Par.,NERVIANO,,151540065,Cantone 65,1498320.0,5043055.0,166.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NERVIANO151540065
NICORVO36,PV,NICORVO,,36,,1474020.0,5014550.0,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICORVO36
NOVEDRATE19(3bis),CO,NOVEDRATE,Comune   pozzo 3,19(3bis),Villaggio Veneto - 1,1511046.0,5060448.0,282.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOVEDRATE19(3bis)
OFFANENGO19062.0005,CR,OFFANENGO,,19062.0005,via Dante,1557924.5,5025552.0,81.0,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFANENGO19062.0005
OFFLAGA25,BS,OFFLAGA,ASM,25,Cignano,1586697.0,5025513.0,73.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFLAGA25
OLGIATE COMASCO20,CO,OLGIATE COMASCO,Comune,20,via Repubblica,1498015.0,5068805.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLGIATE COMASCO20
OLTRONA DI SAN MAMETTE14(21),CO,OLTRONA DI SAN MAMETTE,Az. Colline Comasche,14(21),Margè,1497860.0,5067095.0,373.0,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLTRONA DI SAN MAMETTE14(21)
ORIO LITTA980420003,LO,ORIO LITTA,CAP                         ,980420003,via Pio Rossi,1543820.0,5000952.0,51.5,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIO LITTA980420003
OSNAGOPC097061011,LC,OSNAGO,,PC097061011,STATALE -via Statale,1530797.0,5057843.0,246.0,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSNAGOPC097061011
OSTIGLIA76,MN,OSTIGLIA,,76,via San Romano Casetto 40/A,1667790.0,4994100.0,13.60000038,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSTIGLIA76
OTTOBIANO56,PV,OTTOBIANO,,56,Strada per Valeggio,1487325.0,4999890.0,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTOBIANO56
OZZERO151650025,MI,OZZERO,,151650025, v.25 Aprile-Faraon,1493904.997,5024331.997,107.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OZZERO151650025
PAGAZZANO161540946,BG,PAGAZZANO,Arrigoni S.p.a.,161540946,"via Morengo, 31",1552647.0,5042405.0,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAGAZZANO161540946
PALESTRO 131,PV,PALESTRO,1,31,presso Municipio,1463525.0,5016650.0,120.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALESTRO31
PALOSCO161573378,BG,PALOSCO,Comarmi S.n.c.,161573378,"Via Bergamo, 1",1564618.0,5049592.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALOSCO161573378
PALOSCO161573380,BG,PALOSCO,Valtulini Giacomo,161573380,C.na Gritti,1564511.0,5046783.0,149.2,,X,1,16.58,48.5,16.58,48.5,,,,,,,,,,,,,,,,,,,,,,,15.2,,,1990.0,51.5,PALOSCO161573380
PANTIGLIATE151670001,MI - Città,PANTIGLIATE,,151670001,via D'Annunzio,1527170.0,5032050.0,97.39,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANTIGLIATE151670001
PAVIA4,PV,PAVIA,40,4,Campeggi 1,1510910.0,5006400.0,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAVIA4
PAVONE DEL MELLA26,BS,PAVONE DEL MELLA,ASM,26,VIA GIOVANNI XXIII,1594740.0,5016924.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAVONE DEL MELLA26
PESCAROLO19069.0003,CR,PESCAROLO,3,19069.0003,Loc. Palestra,1593492.0,5005268.5,45.0,,X,3,167.0,192.0,167.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5,PESCAROLO19069.0003
PESCAROLOnan,CR,PESCAROLO,4,,Loc. Palestra,1593527.875,5005190.5,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PESCAROLOnan
PESCHIERA BORROMEO151710197,MI - Città,PESCHIERA BORROMEO,,151710197,FEM Mezzate,1522946.0,5032854.0,105.61,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PESCHIERA BORROMEO151710197
PIADENA19071.0003,CR,PIADENA,,19071.0003,via Bassa,1607835.25,4998399.5,34.0,,X,3,158.5,172.0,158.5,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5,PIADENA19071.0003
PIEVE 215,PV,PIEVE,ASM - 2,15,,1534830.0,4995238.0,54.9,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIEVE15
PIEVE FISSIRAGA980450001,LO,PIEVE FISSIRAGA,CAP            ,980450001,C.na S.Antonio,1535548.0,5013741.0,72.89,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIEVE FISSIRAGA980450001
PINAROLO 118,PV,PINAROLO,1,18,,1512525.0,4989200.0,68.0,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINAROLO18
PIZZIGHETTONE19076.0006,CR,PIZZIGHETTONE,,19076.0006,via Stadio,1562536.875,5004476.5,46.0,,X,3,121.0,129.0,121.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,PIZZIGHETTONE19076.0006
POMPIANO28,BS,POMPIANO,COGEME,28,via Noce,1577244.0,5031736.0,93.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POMPIANO28
PONTE S. PIETRO161700003,BG,PONTE S. PIETRO,Amministrazione Comunale,161700003,via Moioli,1545759.0,5060572.0,225.2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONTE S. PIETRO161700003
PONTE S. PIETRO161700005,BG,PONTE S. PIETRO,Amministrazione Comunale,161700005,Via Papa Giovanni XXIII,1545242.0,5060590.0,239.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONTE S. PIETRO161700005
PONTI SUL MINCIO80,MN,PONTI SUL MINCIO,,80,Scala Erbesti Giuseppina,1633160.0,5027910.0,64.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONTI SUL MINCIO80
PORTALBERA 513,PV,PORTALBERA,ASM - 5,13,Cassinassa,1524334.0,4993150.0,69.0,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTALBERA13
POZZAGLIO19077.0001,CR,POZZAGLIO,,19077.0001,via bongiovanni,1582847.0,5005656.0,50.0,,X,3,181.2,194.9,181.2,194.9,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,POZZAGLIO19077.0001
PROVAGLIO D'ISEO29,BS,PROVAGLIO D'ISEO,COGEME,29,Pozzo Nuovo,1580523.0,5053088.0,208.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROVAGLIO D'ISEO29
PUMENENGO161770001,BG,PUMENENGO,Amministrazione Comunale,161770001,"viale Europa, 9",1567778.0,5036490.0,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMENENGO161770001
QUINGENTOLE81,MN,QUINGENTOLE,,81,Zona Artigianale Gabbiana,1660760.0,4988860.0,13.10000038,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINGENTOLE81
REDONDESCO84,MN,REDONDESCO,,84,via Bologne (vicino al pensile),1618690.0,5003540.0,33.0,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDONDESCO84
REMEDELLO30,BS,REMEDELLO,ARPA,30,VIA L. DA VINCI (REMEDELLO SOPRA),1607659.0,5014579.0,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMEDELLO30
RESCALDINA151810001,MI - Par.,RESCALDINA,,151810001,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESCALDINA151810001
REVERE85,MN,REVERE,,85,via Smerrieri 4,1667680.0,4989800.0,14.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVERE85
REZZATO31,BS,REZZATO,ASM,31,via Gardesana - Treponti,1604156.0,5040364.0,148.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REZZATO31
RHO151820106,MI - Par.,RHO,,151820106,Alumix spa via S.Martino,1503760.0,5039860.0,138.59,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHO151820106
RIPALTA ARPINA19080.0002,CR,RIPALTA ARPINA,,19080.0002,via Capitani,1557143.875,5016713.5,65.0,,X,3,168.0,180.0,168.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,RIPALTA ARPINA19080.0002
RIPALTA CREMASCA19081.0002,CR,RIPALTA CREMASCA,,19081.0002,Loc. Zappello,1554044.0,5020362.0,76.0,,X,1,137.0,149.0,137.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,RIPALTA CREMASCA19081.0002
ROBBIO33,PV,ROBBIO,,33,via Dentici,1468130.0,5014730.0,118.3,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROBBIO33
