CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
URAGO D'OGLIO34,BS,URAGO D'OGLIO,COGEME,34,via Castelcovati,1568653,5040167,131,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTIRAGA VIDARDO0980150003,,CASTIRAGA VIDARDO,,980150003,,1530789,5012188,67.95,C.na Pollarana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CASTREZZATO10,BS,CASTREZZATO,COGEME,10,via F.lli Cervi,1576452,5040679,129.5,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GENZONE10,PV,GENZONE,1,10,Via cairoli,1527575,5002880,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAVENAGO D'ADDA0980170003,LO,CAVENAGO D'ADDA,CAP             ,980170003,via Valsecchi serb.,1547241,5014694,70.73,v.Valsecchi serb.,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CAVENAGO D'ADDA0980170064,LO,CAVENAGO D'ADDA,,980170064,Soltarico,1544810,5014760,73,Soltarico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CAVENAGO BRIANZA0150680002,,CAVENAGO BRIANZA,,150680002,,1532390,5048020,142.43,p.za LibertÃ  - serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAVRIANA36,MN,CAVRIANA,,36,TURATI ALESSANDRO,1625900,5025260,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
NICORVO36,PV,NICORVO,,36,,1474020,5014550,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VILLA CARCINA36,BS,VILLA CARCINA,ARPA,36,via dei Cairoli,1593295,5053355,232.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAVRIANA37,MN,CAVRIANA,,37,Bassignani Cave s.n.c.,1625500,5020470,61.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAZZAGO SAN MARTINO11,BS,CAZZAGO SAN MARTINO,COGEME,11,CALINO NUOVO,1580306,5049766,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERMENATE11,CO,CERMENATE,Consorzio Lura Ambiente spa,11,Via I Maggio,1505880,5060468,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAZZAGO SAN MARTINO48,BS,CAZZAGO SAN MARTINO,COGEME,48,Valle Bornato,1580570,5049919,196.65,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VIGEVANO48,PV,VIGEVANO,9,48,Vallettta Fogliano,1487880,5016710,117,,X,3,148,197,148,166.5,197,,,,,,,,,,,,,,,,,,,,,,,,,,203,,PTUA2003
CERGNAGO55,PV,CERGNAGO,1,55,,1482375,5004830,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GUIDIZZOLO55,MN,GUIDIZZOLO,,55,Cobelli Luigi,1622460,5020780,73.2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERMENATE018(2bis),CO,CERMENATE,Cons. Lura ambiente   pozzo 2,018(2bis),via Petrarca,1506475,5061530,305,,X, 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERNUSCO LOMBARDONEPC097020003,LC,CERNUSCO LOMBARDONE,,PC097020003,VILLA,1530522,5059523,248,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERNUSCO SUL NAVIGLIO0150700004,,CERNUSCO SUL NAVIGLIO,,150700004,,1526360,5041939,119.57,v. Verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERVESINA16,PV,CERVESINA,1,16,,1501295,4989950,70.7,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GHEDI16,BS,GHEDI,ARPA,16,VIA CARAVAGGIO,1600058,5027965,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARIANO COMENSE16,CO,MARIANO COMENSE,Pozzo 3   Pragma S.P.A,16,Via per Novedrate,1513175,5061640,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CERVIGNANO D'ADDA0980180001,LO,CERVIGNANO D'ADDA,CAP               ,980180001,p.zza Caduti,1533303,5024632,81.68,p.za Caduti,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CESANO BOSCONE0150740007,,CESANO BOSCONE,,150740007,,1507180,5032490,120.48,v.Picozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CESATE0150760001,,CESATE,,150760001,,1505534,5048445,159.88,Vill.INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CESATE0150760003,,CESATE,,150760003,,1506301,5049212,160.2,v.Caravaggio-serb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CESATE0150760010,,CESATE,,150760010,,1505534,5048445,161.53,Vill.INA p spia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CHIEVE019029.0001,CR,CHIEVE,,19029.0001,via Zaninelli,1548491.25,5021128.5,78,,X,3,148,157,148,157,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5,,PTUA2003
CHIGNOLO D'ISOLA0160722490,BG,CHIGNOLO D'ISOLA,Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538,5057511,214.9,,X,1,42,72,42,46,52,62,66,72,,,,,,,,,,,,,,,,,,,50,57,10.5,1967,78,,PTUA2003
CILAVEGNA38,PV,CILAVEGNA,ASM - 2,38,via Petrarca,1480220,5017495,115.5,,X,1,41,48.5,41,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,PTUA2003
CINGIA DE' BOTTI019031.0003,CR,CINGIA DE' BOTTI,,19031.0003,via Pievetta,1600202,4993266.5,30,,X,3,154,160.5,154,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5,,PTUA2003
CINISELLO BALSAMO0150770004,,CINISELLO BALSAMO,,150770004,,1517130,5043632,120.1,via Canzio I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CINISELLO BALSAMO0150770006,,CINISELLO BALSAMO,,150770006,,1518408,5044351,150.04,v.Matteotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CINISELLO BALSAMO0150770018,,CINISELLO BALSAMO,,150770018,,1517120,5045500,125.75,via Paisiello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CINISELLO BALSAMO0150770022,,CINISELLO BALSAMO,,150770022,,1519400,5044677,150,Galilei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CINISELLO BALSAMO0150770023,MI - MONZA,CINISELLO BALSAMO,CAP,150770023,via Galilei,1519410,5044683,150.67,Galilei,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,PTUA2003
CINISELLO BALSAMO0150770073,MI - MONZA,CINISELLO BALSAMO,CAP,150770073,via Petrella,1517875,5045125,128.85,via Petrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,PTUA2003
CISLIANO0150780002,,CISLIANO,,150780002,,1499356,5032255,124.78,v.Vitt.Veneto-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CITTIGLIOPO1205100100T0,VA,CITTIGLIO,,PO1205100100T0,Municipio,1474310,5082435,245,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CIVIDATE AL PIANO0160731283,BG,CIVIDATE AL PIANO,Acciaieria di Cividate S.p.a. ,160731283,Loc. Motta Alta,1565706,5042165,131.2,,X,MISTA 2/3,51.48,82,51.48,82,,,,,,,,,,,,,,,,,,,,,,,10,19,65,,82,,PTUA2003
COLOGNO MONZESE0150810004,,COLOGNO MONZESE,,150810004,,1521480,5042960,119.53,v.Levi-Lombardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COLOGNO MONZESE0150810069,,COLOGNO MONZESE,,150810069,,1522264,5042813,138.53,v.Paganini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COMAZZO0980200001,LO,COMAZZO,CAP,980200001,p.zza Caduti,1536534,5032132,93.02,p.za Caduti,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
CONCOREZZO0150840002,MI,CONCOREZZO,,150840002,S.P.13 Malcantone,1525395.999,5047386.998,162.27,S.P.13 Malcantone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PTUA2003
CONCOREZZO0150840024,,CONCOREZZO,,150840024,,1526728,5049528,,v.Pascoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORBETTA0150850002,,CORBETTA,,150850002,,1493533,5035152,139.86,v.Oberdan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORBETTA0150850004,MI - Par.,CORBETTA,,150850004,via Veneto,1494156.004,5034189.999,132.09,v.Veneto x Batuello,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
CORREZZANA0150920003,MI - MONZA,CORREZZANA,CAP,150920003,via Fermi,1523723,5056321,247.15,v.Fermi,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PTUA2003
CORMANO0150860002,,CORMANO,,150860002,,1512580,5043085,121.54,via Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORNAREDO0150870001,MI - Par.,CORNAREDO,,150870001,Campo Sportivo I,1501530,5037775,136.84,Campo Sportivo I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,PTUA2003
CORNAREDO0150870003,,CORNAREDO,,150870003,,1501081,5036901,134.57,v.Marconi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORNOVECCHIO0980230001,,CORNOVECCHIO,,980230001,,1562792,5056473,40.29,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORREZZANA0150920001,,CORREZZANA,,150920001,,1523496,5056835,214.84,via S.Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COTONIPO014061OR0001,SO,COTONI,n.4,PO014061OR0001,SONDRIO - Marzotto,1567250,5112867,294.392,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CUGGIONO0150960014,,CUGGIONO,,150960014,,1485070,5040190,147.96,via Somma-Zucchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CURTATONE42,MN,CURTATONE,,42,SARZI AMADE' ANTONIO,1633980,5000510,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CUSAGO0150970003,MI - Par.,CUSAGO,,150970003,via Cervi fino a 5/99 p.1,1502657,5033450,127.1,v.Cervi fino a 5/99 p.1,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,PTUA2003
CUSANO MILANINO0150980004,,CUSANO MILANINO,,150980004,,1513764,5043930,159.29,p.Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CUSANO MILANINO0150980028,,CUSANO MILANINO,,150980028,,1514126,5044416,152.11,v.Pedretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
DALMINE0160910003,BG,DALMINE,Amministrazione Comunale,160910003,via Fiume Adda,1546509,5056225,211.8,,,3,134,272.5,134,140,146,152,166,172,181,184,193,196,204,205.5,208,211,213.5,218,229,235,247,250,257,263,267.5,272.5,,,,,,,PTUA2003
DESIO0151000003,MI - MONZA,DESIO,CAP,151000003,via Torricelli,1516295,5051936,146.19,via Torricelli,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,PTUA2003
DORNO59,PV,DORNO,,59,via Cordara,1495780,5000315,88.1,,X,2,86,101,86,101,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,PTUA2003
FENEGRO'4(6),CO,FENEGRO',Antiga Spa   pozzo 2,4(6),Via Trento,1500090,5061970,305,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
FIESCO019043.0003,CR,FIESCO,,19043.0003,via F. Noli,1561257.5,5020927,72,,X,3,133,154,133,154,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,PTUA2003
FIGINO SERENZA4 bis,CO,FIGINO SERENZA,soc. Pragma spa,4 bis,Loc Campaccio,1510815,5061625,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
FINO MORNASCO8(10),CO,FINO MORNASCO,Az.Colline Comasche   pozzo 2,8(10),Cascina Pazzea,1504625,5065990,299,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
FOMBIO0980260002,LO,FOMBIO,CAP                                 ,980260002,via Giovanni XXIII,1554292,4998880,42.264,via Giovanni XXIII,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
GALLARATEPO1207000900T0,VA,GALLARATE,,PO1207000900T0,via Alberone - via Ferrari,1483140,5055620,235,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GALLARATEPO1207002201T0,VA,GALLARATE,,PO1207002201T0,via Monte S. Martino,1482360,5058150,271,,X,MISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GARBAGNATE0151050002,,GARBAGNATE,,151050002,,1505950,5046890,153.19,v.Varese I-scuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GAZZUOLO49,MN,GAZZUOLO,,49,ITALGAS (VIADANA),1624010,4992410,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VIGEVANO49,PV,VIGEVANO,17,49,Corso Brodolini,1488985,5016985,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GENZONE0180700001,,GENZONE,,180700001,,1527575,5002880,72.5,via Cairoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GERENZANOPO1207502002T0,VA,GERENZANO,,PO1207502002T0,Discarica - controllo,1497940,5052150,220.65,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GESSATE0151060008,MI-CittÃ ,GESSATE,,151060008,p.zza Aturia 9,1534449,5044895,128.3,p.za Aturia,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,PTUA2003
GIUSSAGO0180720001,,GIUSSAGO,,180720001,,1511200,5014410,91.2,v.25 aprile-scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GIUSSAGO63,PV,GIUSSAGO,5,63,Via F.lli Cervi,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MACARIA63,MN,MACARIA,,63,Mec-Carni S.p.a.,1623050,4997930,28,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GONZAGA53,MN,GONZAGA,,53,via degli Arduini 22 - Bondeno,1646490,4978450,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LOMELLO53,PV,LOMELLO,,53,,1484075,4995560,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GONZAGA54,MN,GONZAGA,,54,Grecav Officine S.p.a.,1642920,4979930,20.1,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GORGONZOLA0151080002,,GORGONZOLA,,151080002,,1532076,5042266,121.42,v. Manzoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GORLE0161150118,BG,GORLE,Tintex S.p.a.,161150118,"via Celadina, 2",1555493,5060225,261.5,,X,2,56,68,56,68,,,,,,,,,,,,,,,,,,,,,,,50,50.5,10.8,1975,70.5,,PTUA2003
GRAFFIGNANA0980280001,LO,GRAFFIGNANA,CAP                    ,980280001,via Milano - serb.,1535471,5006700,64.27,via Milano - serb.,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,PTUA2003
GRASSOBBIO0161170112,BG,GRASSOBBIO,Cava delle Capannelle S.r.l.,161170112,"via Capannelle, 19",1557640,5053380,195.1,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,PTUA2003
GREZZAGO0151100001,,GREZZAGO,,151100001,,1538450,5048995,138.31,via Roma-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GRONTARDO019050.0002,CR,GRONTARDO,,19050.0002,Fraz. Levata,1589592,5006001,47,,X,3,156.5,169,156.5,169,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,PTUA2003
GUDO VISCONTI0151120002,,GUDO VISCONTI,,151120002,,1499888,5024427,110.35,v.Montegrappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GUSSOLA019052.0004,CR,GUSSOLA,,19052.0004,via Bergamonti,1606756,4984844,26,,X,2,74.4,77.4,74.4,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,PTUA2003
IMBERSAGOPC097039001,LC,IMBERSAGO,,PC097039001,ROBBIATE1- via dei Mulini,1535411,5060791,198,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
IMBERSAGOPC097039003,LC,IMBERSAGO,,PC097039003,PONTICELLO- Strada Alzaia,1534898,5062596,196,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
INVERIGO18,CO,INVERIGO,Comune,18,C.na Rocchina,1517738,5065790,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LENO18,BS,LENO,ARPA,18,VIA VIGANOVO 2,1596681,5025535,70.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PINAROLO18,PV,PINAROLO,1,18,,1512525,4989200,68,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
INZAGO0151140006,MI,INZAGO,,151140006,vill.Residenziale,1536840,5041965,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ISOLA DOVARESE019053.0002,CR,ISOLA DOVARESE,,19053.0002,via Fornace,1602524.875,5002716,38,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ISOLA DOVARESE19053,CR,ISOLA DOVARESE,,19053.0002,via Fornace,1602524.875,5002716,38,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ISSO0161220512-161220144,BG,ISSO,Boieri Luigi Clariant S.p.a. (Archimica),0161220512-161220144,C.na Secchi-S.S. 11 - Padana Superiore,1557501,5036628,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
IZANO019054.0003,CR,IZANO,,19054.0003,via Zanesa,1558392.375,5022772,77,,X,3,128,134,128,134,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5,,PTUA2003
LACCHIARELLA0151150001,,LACCHIARELLA,,151150001,,1510746,5019039,92.74,v.Trento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LAINATE0151160008,MI - Par.,LAINATE,,151160008,Lainate Caronasca,1502320,5047210,180,Caronasca,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,PTUA2003
LAINATE0151160009,,LAINATE,,151160009,,1502320,5047210,180,Caronasca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LANDRIANO0180780001,,LANDRIANO,,180780001,,1520470,5017665,85.5,p.za Marconi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LANDRIANO30,PV,LANDRIANO,ASM - 4,30,Strada Cerca,1520920,5017805,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
REMEDELLO30,BS,REMEDELLO,ARPA,30,VIA L. DA VINCI (REMEDELLO SOPRA),1607659,5014579,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LANGOSCO46,PV,LANGOSCO,01-feb,46,,1465575,5006900,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LAZZATE0151170001,,LAZZATE,,151170001,,1506710,5057630,185.21,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LAZZATE0151170003,MI - Par.,LAZZATE,,151170003,via S.Lorenzo-serb.,1506594,5058727,188.9,v.S.Lorenzo-serb.,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LENTATE0151190001,,LENTATE,,151190001,,1509520,5058340,192.31,via S.Vito-Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LEVATE0161260105,BG,LEVATE,Acquedotto Pianura Bergamasca,161260105,"via per Levate, 40 - Osio Sotto ",1548179,5052042,180.9,,X,3,159,300.5,159,165,171,177,178,184.6,194,200,201.5,215.5,220,223,225.5,230,233.5,238.6,242.5,245.5,259.9,266.5,278,281,294.5,300.5,22.84,,,1993,315,,PTUA2003
LOCATE TRIULZI0151250001,MI - CittÃ ,LOCATE TRIULZI,,151250001,p.zza Gramsci,1517398,5022688,96.26,p.Gramsci,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,PTUA2003
LOCATE TRIULZI0151250004,,LOCATE TRIULZI,,151250004,,1517730,5022245,94.7,v.Nenni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LODIVECCHIO0980320002,LO,LODIVECCHIO,CAP                     ,980320002,via Cabrini-serb.,1532570,5016525,74.23,via Cabrini-serb.,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,PTUA2003
LONATE P.PO1209000902T0,VA,LONATE P.,,PO1209000902T0,via Molinelli - Bellaria,1477670,5005023,207.4,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LONATE P.PO1209000903T0,VA,LONATE P.,,PO1209000903T0,via Molinelli - Bellaria,1477670,5050230,207.45,,X,PROFONDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LONATO19,BS,LONATO,ASM,19,Fenil Nuovo,1615024,5035985,159.5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VERRUA19,PV,VERRUA,2,19,Canova,1513160,4994640,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LONATO20,BS,LONATO,ASM,20,MADONNA DELLA SCOPERTA-NUOVO,1623515,5028075,104.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARIANO COMENSE20,CO,MARIANO COMENSE,Soc. Pragma S.P.A   Trotti Grande,20,Via S. d'Acquisto,1514310,5060568,255,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
OLGIATE COMASCO20,CO,OLGIATE COMASCO,Comune,20,via Repubblica,1498015,5068805,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VOGHERA20,PV,VOGHERA,8,20,via Bassi,1499680,4983305,90.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LONATO47,BS,LONATO,ASM,47,Centenaro,1621050,5031077,103.1,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VIGEVANO47,PV,VIGEVANO,4,47,presso Coop,1489525,5017860,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LUINOPO1209202100T0,VA,LUINO,,PO1209202100T0,via Forlanini,1480320,5093625,214.1,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
LURAGO D'ERBA16(23),CO,LURAGO D'ERBA,Soc. Pragma Spa,16(23),Pioppete,1518210,5067545,320,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MACCASTORNA0980330001,LO,MACCASTORNA,CAP                 ,980330001,via Roma,1567299,4999597,38.85,via Roma,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
MADIGNANO019055.0002,CR,MADIGNANO,,19055.0002,via Dante,1556531.875,5021341,72,,X,3,141,147,141,147,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,PTUA2003
MAGENTA0151300021,,MAGENTA,,151300021,,1489910,5035170,134.21,via Piemonte-Nova C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MALAGNINO019056.0003,CR,MALAGNINO,,19056.0003,via Stazione,1587474.25,4998750,40,,X,2,131.5,134.5,131.5,134.5,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,PTUA2003
MALEO0980350002,LO,MALEO,CAP                                  ,980350002,p.zza 25 Aprile,1560100,5001920,44.76,p.za 25 Aprile,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
MARCALLO CON CASONE0151340001,,MARCALLO CON CASONE,,151340001,,1490207,5037106,139.53,via dell'Acquedotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARCALLO CON CASONE0151340004,MI - Par.,MARCALLO CON CASONE,,151340004,via Clerici,1490298,5037079,137.44,via Clerici 4/5/6,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PTUA2003
MARCALLO CON CASONE0151340046,,MARCALLO CON CASONE,,151340046,,1490290,5037075,138.34,via Clerici 4/5/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARCARIA62,MN,MARCARIA,,62,Trofelli Giudo,1627770,4991910,23.1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SIZIANO62,PV,SIZIANO,2,62,via I Maggio,1515665,5017899,89.9,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARIANO COMENSE5 bis,CO,MARIANO COMENSE,Pragma S.P.A,5 bis,Via S. D'Acquisto,1514310,5060568,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
MARTINENGO0161330158,BG,MARTINENGO,Stamperia di Martinengo S.r.l.,161330158,"via Pinetti, 44",1559095,5046594,150.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
