CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
BARLASSINA0150130002,,BARLASSINA,,150130002,,1510160,5055880,179.91,p.za Cavour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BASIANO0150140004,,BASIANO,,150140004,,1536076,5047733,170.91,Serbatoio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BASIGLIO0150150001,MI - CittÃ ,BASIGLIO,,150150001,p.zza M. Rossi-Chiesa,1512870,5021817,96.68,p.za M.Rossi-Chiesa,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BASIGLIO0150150005,MI - CittÃ ,BASIGLIO,,150150005,Vivaldi,1512099,5023725,100.53,Vivaldi,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BELGIOIOSO12,PV,BELGIOIOSO,5,12,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BIGARELLO12,MN,BIGARELLO,,12,Sol S.p.a.,1650940,5005680,24.5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
COLOGNE12,BS,COLOGNE,ARPA,12,VIA BRESCIA,1573702,5047379,173.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BELLUSCO0150170002,,BELLUSCO,,150170002,,1532607,5051591,181.17,p.za Fumagalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BEREGUARDO0180140001,,BEREGUARDO,,180140001,,1501810,5011415,94.3,via Negri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BEREGUARDO28,PV,BEREGUARDO,2,28,via S. Antonino,1502480,5011810,95,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
POMPIANO28,BS,POMPIANO,COGEME,28,via Noce,1577244,5031736,93.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BERGAMO0160240273,BG,BERGAMO,N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,55,20,1965,86,,PTUA2003
BERNAREGGIO0150180001,,BERNAREGGIO,,150180001,,1531802,5054950,196.68,p.za Repubblica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BERNATE TICINO0150190001,MI - Par.,BERNATE TICINO,,150190001,via Pellico-Casate,1486563,5037866,139.53,v.Pellico-Casate,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
BERNINAPO014061OU0002,SO,BERNINA,pozzo 4,PO014061OU0002,SONDRIO -via Bernina ,1566441,5113304,292.913,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BERTONICO0980020002,LO,BERTONICO,CAP                        ,980020002,via Garibaldi,1552858,5009264,46.44,via Garibaldi,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,PTUA2003
BINAGO13(19),CO,BINAGO,Comune   pozzo Acacie 3,13(19),via delle Acacie,1492848,5069930,373,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BINASCO0150240004,,BINASCO,,150240004,,1507371,5020189,99.98,Binaschino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BOARIOPO014066OU0001,SO,BOARIO,,PO014066OU0001,TIRANO - Foro Boario,1589850,5118181,425.776,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BOLGARE0160281385,BG,BOLGARE,Lartigianabottoni S.p.a.,160281385,"via Papa Giovanni XXIII, 26",1563060,5053915,199,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,PTUA2003
BOLLATE0150270001,,BOLLATE,,150270001,,1509260,5043610,130.18,via A.da Bollate-serb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BOLLATE0150270003,,BOLLATE,,150270003,,1510995,5045425,134.04,C.na Nuova-Caracciolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BORGHETTO0980040007,,BORGHETTO,,980040007,,1539108,5004665,53,LODIGIANO Casoni 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BORGOFRANCO SUL PO15,MN,BORGOFRANCO SUL PO,,15,Residenza alla Pace,1673730,4991070,13.6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
GAMBARA15,BS,GAMBARA,ASM,15,via Fiesse,1603746,5011956,47.7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
PIEVE15,PV,PIEVE,ASM - 2,15,,1534830,4995238,54.9,,X,1,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,PTUA2003
BOZZOLO17,MN,BOZZOLO,,17,COMUNE,1616760,4995900,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CORANA17,PV,CORANA,01-gen,17,Strada per Silvano Pietra,1497225,4989280,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ISORELLA17,BS,ISORELLA,ASM,17,P.ZA IV NOVEMBRE,1604050,5018573,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BREGNANO7(9),CO,BREGNANO,Cons. Lura Ambiente   pozzo 6,7(9),loc. Puginate,1503775,5061925,285,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
