CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA
PINAROLO18,PV,PINAROLO,1,18.0,,1512525.0,4989200.0,68.0,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTALBERA13,PV,PORTALBERA,5,13.0,Cassinassa,1524334.0,4993150.0,69.0,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBIO33,PV,ROBBIO,,33.0,via Dentici,1468130.0,5014730.0,118.3,,X,3.0,103.0,146.0,103.0,121.0,138.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,160.0
SANNAZZARO60,PV,SANNAZZARO,,60.0,viale Loreto,1492065.0,4994625.0,86.0,,X,3.0,94.0,142.0,94.0,100.0,106.0,114.0,130.0,142.0,,,,,,,,,,,,,,,,,,,,,,,150.0
SANTA CRISTINA14,PV,SANTA CRISTINA,1,14.0,via Milano,1531060.0,5000720.0,71.0,,X,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIZIANO62,PV,SIZIANO,2,62.0,via I Maggio,1515665.0,5017899.0,89.9,,X,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMMO2,PV,SOMMO,2,2.0,via XXV aprile,1506780.0,4998055.0,79.0,,X,3.0,149.0,165.0,149.0,157.0,161.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,184.0
TORRAZZA22,PV,TORRAZZA,COSTE,22.0,S. Giorgio,1505680.0,4980505.0,116.0,,X,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORRE D'ARESE9,PV,TORRE D'ARESE,1,9.0,via Morivione,1525160.0,5009820.0,77.4,,X,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORREBERETTI25,PV,TORREBERETTI,1,25.0,Via Pascoli,1489690.0,5006080.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROMELLO61,PV,TROMELLO,1,61.0,Castellaro,1477165.0,4991375.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALLE LOMELLINA43,PV,VALLE LOMELLINA,1,43.0,,1473630.0,4999300.0,101.7,,X,3.0,112.0,137.0,112.0,117.0,122.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,130.0
VERRUA19,PV,VERRUA,2,19.0,Canova,1513160.0,4994640.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGAVANO47,PV,VIGAVANO,4,47.0,presso Coop,1489525.0,5017860.0,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGEVANO48,PV,VIGEVANO,9,48.0,Vallettta Fogliano,1487880.0,5016710.0,117.0,,X,3.0,148.0,197.0,148.0,166.5,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,203.0
VIGEVANO49,PV,VIGEVANO,17,49.0,Corso Brodolini,1488985.0,5016985.0,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGEVANO50,PV,VIGEVANO,20,50.0,via S. Maria,1488935.0,5017060.0,103.0,,X,1.0,30.0,42.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
VOGHERA20,PV,VOGHERA,8,20.0,via Bassi,1499680.0,4983305.0,90.5,,X,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOGHERA27,PV,VOGHERA,1,27.0,via Volturno,1501045.0,4981950.0,98.4,,X,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZERBOLÒ3,PV,ZERBOLÒ,1,3.0,Viale Libertà,1501220.0,5005810.0,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINASCO1,PV,ZINASCO,2,1.0,S.P. Alessandria-Pavia,1501635.0,4996750.0,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
