,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Etichette di colonna,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
10,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-12-29,86.237,soggiacenza statica,4.37,81.867,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200150R0002,1.0,1.32,50.434224137931025,51.1,,PO017122NRP001,4.58,7.11,4.48,7.1,4.5825,6.595000000000001,4.8375,6.6425,4.7475000000000005,6.5975,4.7875,6.8975,5.125,5.885,5.015,5.7575,4.5,5.17,4.82,6.6,4.41,6.62,4.5424999999999995,6.2
11,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-01-15,86.237,soggiacenza statica,4.32,81.917,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO020018NU0004,17.0625,18.92,57.42,59.2775,,PO0171960RC629,2.8725,6.7299999999999995,2.465,6.407500000000001,2.285,3.3600000000000003,2.485,4.13,2.455,5.09,3.5825,5.9475,4.9325,8.11,5.6499999999999995,7.9725,4.135,5.6899999999999995,3.4274999999999998,4.6075,2.925,6.039999999999999,2.7625,6.08
12,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-02-14,86.237,soggiacenza statica,4.43,81.807,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200210R0045,5.75,6.66,15.033,15.943,,PO0200150R0002,1.0375369623655906,1.415485074626866,1.055660021551731,1.365,1.1586995967741935,1.4702486559139767,0.9,1.33,1.0163844086021407,1.7505882352941171,0.8582916666666676,1.763541666666657,1.0814516129032274,1.3,1.0027284946236552,1.32,0.9331666666666667,1.29,0.9859778225806467,1.2775,0.9,1.25,0.9,1.27
13,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-03-14,86.237,soggiacenza statica,4.82,81.417,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200240R0001,1.525,2.15,32.464,33.089,,PO020018NU0004,17.685,19.0075,16.759999999999998,18.8525,17.95,19.21,18.455,19.502499999999998,17.545,19.41,16.432499999999997,18.8625,17.075,18.415889021479714,16.98,17.85,17.145,17.799999999999997,17.270000000000003,17.7,17.33,18.17,16.685000000000002,18.16
14,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-04-22,86.237,soggiacenza statica,5.13,81.107,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200280R0056,9.76,10.8342261904762,53.435773809523795,54.51,,PO0200210R0045,5.9475,6.890000000000001,5.65,6.68,5.63,6.645,5.7925,6.8625,5.75,6.5,5.95,6.48,5.76,6.515,6.1,6.54,6.06,6.58,5.89,6.63,5.9725,6.6825,6.1625,6.715
15,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-05-06,86.237,soggiacenza statica,5.41,80.827,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO020030NU0004,3.4611122311827986,3.6400000000000006,14.26,14.438887768817201,,PO0200240R0001,1.4375,1.9925,1.3399999999999999,1.9725,1.5375,2.0374999999999996,1.4975,2.28,1.54,2,1.29,2.15,1.79,2.2,1.6,1.79,1.795,2.2625,1.8,2.34,1.68,2.125,1.4425,2.1025
16,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-06-10,86.237,soggiacenza statica,4.83,81.407,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO020032NR0001,1.67,2.558,30.45,31.338,,PO0200280R0056,9.76,10.6,9.802521551724123,10.9375,10,11,10.4,11.245569444444442,10.176868279569893,10.9,9.771281250000003,10.942499999999999,10.2,11.2,9.7875,10.913024193548388,9.3475,10.28667013888889,9.399999999999999,10.129999999999999,9.716343749999995,10.147499999999999,9.524999999999999,10.48192204301074
17,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-07-08,86.237,soggiacenza statica,5.17,81.067,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO020034NU0002,19.075,20.781142926356505,62.32885707364347,64.035,,PO020030NU0004,3.3821788321167983,3.66,3.4,3.59,3.4218145161290425,3.5718346774193437,3.45,3.6256527777777956,3.464223790322583,3.6358534946236585,3.43,3.688652777777795,3.52,3.66,3.532271251017443,3.6275,3.55,3.647388888888906,3.5,3.642930107526903,3.49,3.59,3.3940322580645015,3.57
18,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-08-05,86.237,soggiacenza statica,4.99,81.247,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0200510R0002,8.43,8.86,22.14,22.57,,PO020032NR0001,1.2429999999999999,2.2,1.4,2.1,1.468,2.378,1.5170000000000001,2.551,1.7682499999999999,2.545,1.838,2.308,2.191,2.72,2.2085,2.9705,2.217,2.7295,2.478,2.87,1.8425,2.4107499999999997,1.486,2.2185
19,BS,CAPRIANO DEL COLLE,PO017037NRP001,2016-09-19,86.237,soggiacenza statica,5.06,81.177,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO020063NU0002,35.78157258064514,37.50290322580648,68.1170967741936,69.83842741935453,,PO020034NU0002,18.87543941273778,20.81716893039042,18.72228448275863,20.93187499999997,20.203336693548387,21.06946572580646,20.18605208333334,21.088239583333326,19.035,20.797681451612824,18.71799999999999,20.830958333333353,18.65,20.656713709677412,18.86381048387095,20.235221774193548,19.112062499999986,20.0198125,19.188407258064498,20.23485887096774,19.213958333333345,20.31205755146477,18.47764112903225,20.05350806451613
