,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
19,MI,ABBIATEGRASSO,PO0150020U0005,2014-03-15,120.75,soggiacenza statica,8.01,112.74,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150020U0005,7.705,8.1425,8.085,8.355,8.254999999999999,8.425,8.25,8.465,7.4399999999999995,8.545,6.3375,7.65,7.005,7.92,6.205,6.33,6.12,6.4,7.06,7.1,6.9725,7.305,7.6175,7.9375,7.06,8.31
20,MI,ABBIATEGRASSO,PO0150020U0005,2014-04-15,120.75,soggiacenza statica,7.89,112.86,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150020U0014,,,,,,,,,5.221,5.221,4.58,4.58,4.018,4.018,4.66,4.66,4.58,4.58,5.15,5.15,5.64,5.64,5.67,5.67,4.58,5.32575
21,MI,ABBIATEGRASSO,PO0150020U0005,2014-05-15,120.75,soggiacenza statica,7.17,113.58,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150150U0001,3.8649999999999998,4.4525,3.9,4.41,3.8575,4.49,3.765,4.375,3.9450000000000003,4.125,3.9525,4.295,4.0225,5.1075,3.94,4.2,3.7874999999999996,4.1,3.55,4.3774999999999995,3.1675,4.45,3.81,4.59,3.835,4.44
22,MI,ABBIATEGRASSO,PO0150020U0005,2014-06-15,120.75,soggiacenza statica,6.2,114.55,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150870U0001,5.13,5.99,4.98,5.99,5.48,6.25,5.325,6.1125,5.1425,5.995,5.130000000000001,5.855,4.79,5.7475000000000005,4.12,5.99,4.46,5.18,4.78,5.33,5.31,5.78,4.735,6.035,5.065,5.9925
23,MI,ABBIATEGRASSO,PO0150020U0005,2014-07-01,120.75,soggiacenza statica,8.63,112.12,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015140NR0109,8.11,8.530451612903226,8.13,8.496206896551724,7.62,8.425290322580647,7.95,8.684000000000001,7.756483870967742,8.328524193548386,7.395408333333333,8.436375000000002,7.5525,8.52600806451613,8.43541935483871,8.61,7.8,8.607983333333333,7.943451612903226,8.607182795698925,8.002958333333334,8.514041666666666,7.92,8.394580645161291,7.830362903225806,8.58329435483871
24,MI,ABBIATEGRASSO,PO0150020U0005,2014-09-01,120.75,soggiacenza statica,6.32,114.43,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1378,8.6,9.149999999999999,8.45,9.3,8.9,9.36,8.7,9.475000000000001,8.649999999999999,9.342500000000001,8.3875,9.239999999999998,8.55,9.075,8.075,8.2625,8.35,9.274999999999999,8.075,9.375,8.425,8.934999999999999,8.425,9.195,8.35,9.27
25,MI,ABBIATEGRASSO,PO0150020U0005,2014-10-01,120.75,soggiacenza statica,7.06,113.69,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1379,3.4,3.8,3.5,3.88,3.5,3.9699999999999998,3.5,3.9,3.45,3.895,3.2,3.475,3.025,3.29,3,3.1,3.275,3.44,3.5,3.6849999999999996,3.325,3.7,3.1624999999999996,3.8,3.2575,3.8
26,MI,ABBIATEGRASSO,PO0150020U0005,2014-11-01,120.75,soggiacenza statica,7.25,113.5,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1435,6.15,6.8,6.05,6.675,6.125,6.835000000000001,6.125,6.675,6,6.75,6,6.45,5.7875,6.2875,5.65,6.05,5.925000000000001,6.48,6.15,6.9,6.025,6.529999999999999,5.8,6.5,6,6.6
27,MI,ABBIATEGRASSO,PO0150020U0005,2014-12-01,120.75,soggiacenza statica,7.39,113.36,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1489,3.4,3.9,3.2,4.02,3.5125,4.1274999999999995,3.5,4.0375,2.7,3.94,2.9875,4.1975,2.5,2.915,2.2750000000000004,2.425,2.65,3.15,2.925,3.31,3.025,3.5700000000000003,3.0125,3.325,2.8,3.92
28,MI,ABBIATEGRASSO,PO0150020U0005,2015-01-01,120.75,soggiacenza statica,8.06,112.69,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1496,5.9,7.15,5.6274999999999995,7.35,5.9275,6.7425,6.05,6.675,5.74,6.6,5.6375,6.1675,5.2,5.9875,5.175,5.4125,5.2125,5.7924999999999995,5.25,6.445,5.08,6.575,5.050000000000001,6.91,5.3875,6.625
