,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
19,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-06-15,17.258,soggiacenza statica,1.18,16.078,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO020061NUP001,6.54,7.93,3.73,5.12
20,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-07-15,17.258,soggiacenza statica,1.36,15.898,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200650R0002,2.25875,3.3825,16.0375,17.16125
21,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-08-15,17.258,soggiacenza statica,1.58,15.678,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200720R0001,1.4775,1.7725,10.0445,10.339500000000001
22,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-09-15,17.258,soggiacenza statica,1.7,15.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0980110U0001,4.3175,4.76,40.473,40.9155
23,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-10-15,17.258,soggiacenza statica,1.7,15.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO098049NR0141,5.4175,6.3,43.423,44.3055
24,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-11-15,17.258,soggiacenza statica,1.75,15.508,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,Totale complessivo,1.76,3.841819444444429,10.93,29.015
25,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-01-17,17.258,soggiacenza statica,0.85,16.408,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
26,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-02-20,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
27,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-04-18,17.258,soggiacenza statica,1.505,15.753,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
28,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-05-13,17.258,soggiacenza statica,1.4,15.858,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
29,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-06-18,17.258,soggiacenza statica,0.09,17.168,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,,,,,
30,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-07-01,17.258,soggiacenza statica,1.03,16.228,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
31,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-08-07,17.258,soggiacenza statica,1.45,15.808,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
32,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-09-10,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
33,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-10-10,17.258,soggiacenza statica,1.5199999999999998,15.738,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
34,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-11-04,17.258,soggiacenza statica,0.48666666666666664,16.771333333333335,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,,,,,
35,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-12-04,17.258,soggiacenza statica,0.6833333333333335,16.57466666666667,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
36,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-01-13,17.258,soggiacenza statica,1.05,16.208,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
37,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-02-19,17.258,soggiacenza statica,1.12,16.138,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
38,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-03-11,17.258,soggiacenza statica,0.9,16.358,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
39,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-04-23,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
40,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-05-06,17.258,soggiacenza statica,0.92,16.338,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
41,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-06-17,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
42,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-07-09,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
43,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-08-14,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
44,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-09-18,17.258,soggiacenza statica,1.05,16.208,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
45,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-10-06,17.258,soggiacenza statica,1.45,15.808,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
46,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-11-18,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
47,MN,BAGNOLO SAN VITO,PO0200030R0002,2009-12-18,17.258,soggiacenza statica,0.8,16.458,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
48,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-01-21,17.258,soggiacenza statica,0.1,17.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,,,,,
49,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-02-19,17.258,soggiacenza statica,0.6,16.658,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
50,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-03-31,17.258,soggiacenza statica,0.89,16.368,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
51,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-04-13,17.258,soggiacenza statica,1.05,16.208,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
52,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-05-03,17.258,soggiacenza statica,1.06,16.198,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
53,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-06-01,17.258,soggiacenza statica,0.95,16.308,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
54,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-07-01,17.258,soggiacenza statica,0.95,16.308,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
55,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-08-05,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
56,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-09-14,17.258,soggiacenza statica,1.28,15.978,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
57,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-10-28,17.258,soggiacenza statica,0.8,16.458,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
58,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-11-03,17.258,soggiacenza statica,0.6,16.658,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
59,MN,BAGNOLO SAN VITO,PO0200030R0002,2010-12-06,17.258,soggiacenza statica,0.7,16.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
60,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-01-18,17.258,soggiacenza statica,0.95,16.308,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
61,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-02-16,17.258,soggiacenza statica,0.95,16.308,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
62,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-03-08,17.258,soggiacenza statica,0.93,16.328,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
63,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-04-11,17.258,soggiacenza statica,0.98,16.278,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
64,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-05-09,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
65,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-06-16,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
66,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-07-15,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
67,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-08-03,17.258,soggiacenza statica,1.17,16.088,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
68,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-09-05,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
69,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-10-20,17.258,soggiacenza statica,1.0,16.258,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
70,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-11-17,17.258,soggiacenza statica,1.08,16.178,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
71,MN,BAGNOLO SAN VITO,PO0200030R0002,2011-12-22,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
72,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-01-27,17.258,soggiacenza statica,1.25,16.008,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
73,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-02-09,17.258,soggiacenza statica,1.31,15.948,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
74,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-03-19,17.258,soggiacenza statica,1.25,16.008,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
75,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-04-18,17.258,soggiacenza statica,1.24,16.018,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
76,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-05-22,17.258,soggiacenza statica,0.98,16.278,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
77,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-06-04,17.258,soggiacenza statica,0.87,16.388,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
78,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-07-10,17.258,soggiacenza statica,1.0,16.258,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
79,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-08-06,17.258,soggiacenza statica,1.15,16.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
80,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-09-17,17.258,soggiacenza statica,1.75,15.508,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,,,,,
81,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-10-10,17.258,soggiacenza statica,1.3,15.958,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
82,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-11-30,17.258,soggiacenza statica,0.73,16.528,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
83,MN,BAGNOLO SAN VITO,PO0200030R0002,2012-12-11,17.258,soggiacenza statica,0.72,16.538,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
84,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-01-23,17.258,soggiacenza statica,0.7,16.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
85,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-02-14,17.258,soggiacenza statica,0.75,16.508,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
86,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-03-04,17.258,soggiacenza statica,1.0,16.258,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
87,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-04-09,17.258,soggiacenza statica,0.87,16.388,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
88,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-05-06,17.258,soggiacenza statica,0.65,16.608,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
89,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-06-03,17.258,soggiacenza statica,1.02,16.238,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
90,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-07-29,17.258,soggiacenza statica,1.13,16.128,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
91,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-08-23,17.258,soggiacenza statica,1.06,16.198,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
92,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-09-27,17.258,soggiacenza statica,1.28,15.978,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
93,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-10-21,17.258,soggiacenza statica,1.12,16.138,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
94,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-11-19,17.258,soggiacenza statica,1.18,16.078,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
95,MN,BAGNOLO SAN VITO,PO0200030R0002,2013-12-09,17.258,soggiacenza statica,1.3,15.958,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
96,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-01-16,17.258,soggiacenza statica,0.87,16.388,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
97,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-02-20,17.258,soggiacenza statica,1.0,16.258,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
98,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-03-25,17.258,soggiacenza statica,1.12,16.138,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
99,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-04-09,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
100,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-05-21,17.258,soggiacenza statica,1.14,16.118,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
101,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-06-03,17.258,soggiacenza statica,1.16,16.098,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
102,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-07-10,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
103,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-08-18,17.258,soggiacenza statica,1.22,16.038,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
104,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-09-05,17.258,soggiacenza statica,1.27,15.988,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
105,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-10-02,17.258,soggiacenza statica,1.19,16.068,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
106,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-11-10,17.258,soggiacenza statica,0.83,16.428,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
107,MN,BAGNOLO SAN VITO,PO0200030R0002,2014-12-12,17.258,soggiacenza statica,0.89,16.368,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
108,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-01-27,17.258,soggiacenza statica,1.05,16.208,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
109,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-02-17,17.258,soggiacenza statica,1.03,16.228,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
110,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-03-17,17.258,soggiacenza statica,0.79,16.468,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
111,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-04-17,17.258,soggiacenza statica,0.92,16.338,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
112,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-05-25,17.258,soggiacenza statica,1.06,16.198,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
113,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-06-18,17.258,soggiacenza statica,1.04,16.218,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
114,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-07-23,17.258,soggiacenza statica,1.24,16.018,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
115,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-08-25,17.258,soggiacenza statica,1.43,15.828,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
116,MN,BAGNOLO SAN VITO,PO0200030R0002,2015-09-25,17.258,soggiacenza statica,1.5,15.758,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
