,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 22,Unnamed: 23,Quartili soggiacenza,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
10,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2009-04-13,32.636,soggiacenza statica,2.9,29.736,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020002NU0007,7.3,7.6,31.44,31.74,,PO020001NU0001,3.3375,3.725,2.3375,2.7625,2.3,2.8,2.975,3.125,3.15,3.4,4.125,4.925000000000001,3.5,4.3,3.4625,3.84,3.8,4.324999999999999,3.5,3.9,3.1125,3.5625,2.975,3.4125
11,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2009-07-15,32.636,soggiacenza statica,4.35,28.286,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020003NUP001,2.8049999999999997,3.34,15.279,15.814,,PO0200020U0004,6,10.14,5.7,10.18,5.9125,8.66,5.7,8.94,5.5375,8.47,6.1625,8.475,6.1499999999999995,9.572500000000002,5.9,8.45,6,9.875,6.1,9.5,5.925,7.885,6.1,9.675
12,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2009-09-15,32.636,soggiacenza statica,4.3,28.336,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200040R0012,2.1475,3.23,21.613999999999997,22.6965,,PO020002NU0007,7.4,7.4,7.2,7.2,7.6,7.6,7.35,7.35,7.28,7.28,7.305,7.315,7.375,7.5249999999999995,7.35,7.95,7.325,7.925000000000001,7.34,7.9399999999999995,7.380000000000001,8,7.43,7.955
13,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2009-10-15,32.636,soggiacenza statica,4.05,28.586,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020010NR0001,2.83583333333336,3.7095689655172492,43.05843103448275,43.93216666666664,,PO020003NUP001,3,3.2,2.96,3.26,3.0549999999999997,3.1550000000000002,2.28,3.34,2.38,3.11,2.57,2.86,3.125,3.565,3.4124999999999996,3.6550000000000002,3.1025,3.27625,3.035,3.285,1.89,3.34,2.29,3
14,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2009-11-15,32.636,soggiacenza statica,3.75,28.886,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020012NUP001,3.5,3.5,35.934,35.934,,PO0200040R0012,2.075,2.515,2.12,2.8325,2.085,2.5825,2.13,2.59,2.08,2.625,2.3049999999999997,5.1225000000000005,2.4,3.3,2.58,3.28,2.55,2.9850000000000003,2.4,6.1275,2.105,2.91,2.025,4.85
15,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-02-15,32.636,soggiacenza statica,2.95,29.686,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200190R0001,1.9946180555555588,2.3699999999999943,38.831,39.206381944444445,,PO020010NR0001,2.7225,3.5582594086021415,2.9097500000000003,3.6182031250000137,2.71,3.258255103185297,2.6625,3.1611979166666817,2.575,3.157352150537635,2.6426666666666665,3.586534722222226,3.2750000000000004,4.245645161290326,3.2661290322580863,3.396710349462369,3.575354166666663,4.19145138888889,3.403524865591397,4.49270161290322,3.2125,3.5814583333333267,2.9690188172042977,3.75
16,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-03-15,32.636,soggiacenza statica,2.8,29.836,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020022NUP001,12.149999999999999,12.35,8.66,8.86,,PO020012NUP001,3.6,3.6,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.5,,,,,,,,,,,,,,
17,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-05-13,32.636,soggiacenza statica,3.15,29.486,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200280R0057,10.7,13.596985195154785,51.83101480484521,54.728,,PO0200190R0001,1.875,2.2776814516128923,1.8,2.09360965722497,1.8,2.199959677419345,2.085,2.1900000000000004,1.9414223973607145,2.2225,1.965000000000004,2.2543888888888883,2.1635282258064468,2.539663978494623,2.2275,2.482500000000002,2.2624999999999997,2.5127986111111253,2.14,2.463750000000007,2.028208333333306,2.4,2,2.27
18,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-07-15,32.636,soggiacenza statica,3.45,29.186,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO020030NU0003,3.5,5.125,13.669,15.294,,PO020022NUP001,,,,,,,,,,,,,,,,,12.5,12.5,,,12.2,12.2,12.1,12.1
19,MN,ACQUANEGRA SUL CHIESE,PO020001NU0001,2010-08-15,32.636,soggiacenza statica,4.5,28.136,3.0,3.9,28.736,29.636,0.8999999999999986,27.386000000000003,30.985999999999997,,,PO0200330R0003,2.8,3.4875,28.4725,29.16,,PO0200280R0057,10.165000000000001,12.859707661290335,10.45,12.447723214285714,10.225000000000001,12.929159946236542,10.739999999999998,13.448923611111113,11.112499999999999,13.046357526881717,11.5,13.991388888888906,14,15.73685321888412,12.99,15.524710752688192,11.75,13.584809027777784,10.29,13.237224462365582,10.25,12.695923611111109,11,13.024852150537637
