,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
16,PV,ALBONESE,PO018003NR0009,2017-05-15,113.49,soggiacenza statica,2.3,111.19,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,,1Q-SOG totale,3Q_SOG totale
17,PV,ALBONESE,PO018003NR0009,2017-06-30,113.49,soggiacenza statica,0.65,112.84,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,Etichette di riga,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,,
18,PV,ALBONESE,PO018003NR0009,2017-07-31,113.49,soggiacenza statica,0.61,112.88,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018003NR0009,2.1174999999999997,2.185,2.16,2.185,1.97,2.205,1.83,2.1374999999999997,1.4474999999999998,2,0.6275000000000001,0.705,0.515,0.6575,0.5525,0.8125,1.61,1.6275,1.92,2,1.83,2.17,2.0149999999999997,2.05,1.01,2.115
19,PV,ALBONESE,PO018003NR0009,2017-08-31,113.49,soggiacenza statica,1.15,112.34,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO0180350U0002,,,7.49,7.965,,,,,5.7925,6.345,5,5,4.175,4.245,3.95,4.6125,,,6.0225,6.45,7.44,7.5,,,5.5,7.25
20,PV,ALBONESE,PO018003NR0009,2017-09-30,113.49,soggiacenza statica,1.65,111.84,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018039NR0001,2.485,2.715,3.07,3.07,3.0325,3.2375,,,2.85,2.85,1.9725,2.0575,1.45,1.45,1.41,1.45,2.1149999999999998,2.205,2.37,2.37,2.075,2.245,2.2375000000000003,2.3525,1.99,2.57
21,PV,ALBONESE,PO018003NR0009,2017-10-31,113.49,soggiacenza statica,1.92,111.57,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018039NRP001,4.835,4.945,5.23,5.4,5.27,5.395,5.34,5.54,4.88,5.140000000000001,3.8200000000000003,3.89,2.5549999999999997,2.635,2.1550000000000002,2.505,3.6075,3.6825,4.415,4.425,4.83,4.83,4.705,4.875,3.72,5.2
22,PV,ALBONESE,PO018003NR0009,2017-11-30,113.49,soggiacenza statica,2.02,111.47,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO0180500U0002,3.8049999999999997,4.029999999999999,3.8625,4,3.7275,4.01,3.835,3.9575,3.5,3.815,3.49,3.945,3.3175,3.6525,3.4,3.9,3.5275,3.815,3.7,3.8949999999999996,3.62,4.05,3.63,3.93,3.5199999999999996,3.9575
23,PV,ALBONESE,PO018003NR0009,2017-12-31,113.49,soggiacenza statica,2.07,111.42,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018062NRD002,6.835,7.585,7.2,7.675,7.41,8.15,7.84,8.36,7.8925,8.4125,7.5600000000000005,8.1975,6.55,7.904999999999999,5.63,6.175000000000001,5.4275,6.032500000000001,6,6.279999999999999,6.1499999999999995,6.657500000000001,7.02,7.1425,6.385,7.887499999999999
24,PV,ALBONESE,PO018003NR0009,2018-01-31,113.49,soggiacenza statica,2.08,111.41,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018065NRG001,,,3.9675000000000002,4.1375,2.08,2.08,4.21,4.21,2.1399999999999997,2.875,1.35,1.81,2.0199999999999996,2.04,1.685,2.005,,,3.5324999999999998,3.725,3.785,4,,,2.05,3.87
25,PV,ALBONESE,PO018003NR0009,2018-02-28,113.49,soggiacenza statica,2.1,111.39,1.01,2.115,111.375,112.48,1.105000000000004,109.7175,114.13750000000002,,,,,,PO018068NRP001,20.474999999999998,20.95,20.6,20.9,20.7,21.2,20.9,21.4,20.9125,21.5,20.89,21.15,19.95,20.58,18.9,19.2,18.975,19.155,19.175,19.625,19.9,20.2,19.8,20.5,19.7,20.9425
