,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Etichette di colonna,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
10,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-04-30,72.433,soggiacenza statica,3.8,68.633,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019077NRA001,SI,,PO019077NRA001,2.6375,3.07,50.74,51.1725,,PO019065NRA001,3.81,3.99,3.545,4.08,3.5949999999999998,3.955,3.885,4.095000000000001,3.785,4.039999999999999,3.665,3.79,3.54,3.68,3.495,3.71,3.675,3.82,3.88,3.955,3.845,4.0200000000000005,3.2825,3.965
11,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-05-31,72.433,soggiacenza statica,3.75,68.683,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019084NRA002,SI,,PO019084NRA002,2.12,3.9250000000000003,92.255,94.06,,PO019070NRA001,1.58,2.92,1.5,2.465,1.5350000000000001,2.36,1.935,2.725,2.0075,2.8274999999999997,2.285,3.02,2.605,3.045,2.81,3.26,3.05,3.6100000000000003,3.34,3.72,2.385,3.6,1.52,3.16
12,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-06-27,72.433,soggiacenza statica,3.36,69.073,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019088NRP001,SI,,PO019088NRP001,0.405,0.87,50.073,50.538,,PO019077NRA001,2.545,3.085,2.51,3.06,2.4749999999999996,2.95,2.7199999999999998,3.0549999999999997,2.7199999999999998,3.075,2.635,2.94,2.665,3.035,2.79,3.065,2.9000000000000004,3.05,2.9450000000000003,3.175,2.71,3.1550000000000002,2.385,2.935
13,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-07-30,72.433,soggiacenza statica,3.73,68.703,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019094NU0944,SI,,PO019094NU0944,4.46,4.75,86.35,86.64,,PO019084NRA002,3.38,4.24,4.071724137931036,4.81,4.33,5.01,3.91,4.9,2.36,2.78,1.77,1.9448333333333339,1.72,1.8203225806451622,2,2.2,2.1,2.51,2.33,3.22,3.08,3.42,3.07,3.75
14,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-08-27,72.433,soggiacenza statica,3.4,69.033,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019110NRA001,SI,,PO019110NRA001,2.24,2.6725,68.14750000000001,68.58,,PO019088NRP001,0.4775,0.735,0.72,0.87,0.7124999999999999,0.955,0.945,1.0925,0.94,0.98,0.745,0.895,0.4925,0.845,0.405,0.4925,0.27,0.375,0.32,0.34,0.265,0.4825,0.46,0.6275
15,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-09-24,72.433,soggiacenza statica,3.55,68.883,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO098003NR0063,SI,,PO098003NR0063,3.22,3.6725,68.76050000000001,69.213,,PO019094NU0944,4.34,4.7225,4.37,4.67,4.43,4.76,4.57,4.75,4.4825,4.75,4.46,4.81,4.6225000000000005,4.8825,4.59,4.77,4.585,4.762499999999999,4.55,4.69,4.2299999999999995,4.645,4.3125,4.5975
16,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-10-10,72.433,soggiacenza statica,3.73,68.703,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO098024NR0087,SI,,PO098024NR0087,3.16,3.7,63.218,63.758,,PO019110NRA001,2.5625,2.8025,2.47,2.8,2.49,2.85,2.605,2.8600000000000003,2.5075,2.7325,2.29,2.46,2.0999999999999996,2.205,2.025,2.18,2.23,2.3125,2.49,2.54,2.3,2.6575,2.245,2.7
17,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-11-25,72.433,soggiacenza statica,3.06,69.373,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO098025NR0110,SI,,PO098025NR0110,2.12,2.99,69.837,70.707,,PO098003NR0063,3.34,3.83,3.35,3.8099999999999996,3.2300000000000004,3.755,3.52,3.8,3.32,3.745,3.27,3.61,3.45,3.6,3.365,3.565,3.22,3.55,3.05,3.43,2.885,3.4625000000000004,3.18,3.45
18,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-12-12,72.433,soggiacenza statica,3.44,68.993,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,Totale complessivo,2.33,4.78,46.74,70.0895,,PO098024NR0087,3.6075,3.815,3.5974999999999997,3.8275,3.34,3.78,3.7025,3.7275,3.3499999999999996,3.54,2.8875,3.1025,2.7325,2.85,2.79,3.0124999999999997,3.2225,3.32,3.4025,3.42,3.4125,3.5875,3.5025,3.7
19,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-01-10,72.433,soggiacenza statica,2.33,70.103,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,OUTLIER,,,,,,,,,,,,PO098025NR0110,3.02,3.18,2.8200000000000003,3.1125,2.64,3.22,2.765,2.9675000000000002,2.5275,2.785,1.6075,2.335,1.34,1.54,1.7525,1.9075,2.04,2.1950000000000003,2.37,2.71,2.8,2.9,2.99,3.01
20,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-02-18,72.433,soggiacenza statica,2.89,69.543,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-03-18,72.433,soggiacenza statica,3.17,69.263,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-04-30,72.433,soggiacenza statica,3.07,69.363,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-05-19,72.433,soggiacenza statica,3.32,69.113,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-06-23,72.433,soggiacenza statica,3.36,69.073,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,LO,BOFFALORA D'ADDA,PO098003NR0063,2014-07-22,72.433,soggiacenza statica,3.43,69.003,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
