,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS
30,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-01-15,349.52,soggiacenza statica,0.21,349.31,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
31,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-02-20,349.52,soggiacenza statica,0.28,349.24,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
32,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-03-05,349.52,soggiacenza statica,0.19,349.33,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
33,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-04-03,349.52,soggiacenza statica,0.15,349.37,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
34,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-05-29,349.52,soggiacenza statica,0.1,349.42,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
35,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-06-19,349.52,soggiacenza statica,0.17,349.35,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
36,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-07-17,349.52,soggiacenza statica,0.41,349.11,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
37,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-08-23,349.52,soggiacenza statica,0.44,349.08,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
38,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-09-13,349.52,soggiacenza statica,0.46,349.06,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
39,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-10-30,349.52,soggiacenza statica,0.31,349.21,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
40,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-11-28,349.52,soggiacenza statica,0.33,349.19,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
41,BS,GARDONE VAL TROMPIA,PO0170750RC536,2013-12-03,349.52,soggiacenza statica,0.42,349.1,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
42,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-01-28,349.52,soggiacenza statica,0.21,349.31,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
43,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-02-27,349.52,soggiacenza statica,0.17,349.35,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
44,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-03-27,349.52,soggiacenza statica,0.21,349.31,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
45,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-04-29,349.52,soggiacenza statica,0.19,349.33,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
46,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-05-21,349.52,soggiacenza statica,0.29,349.23,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
47,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-06-16,349.52,soggiacenza statica,0.22,349.3,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
48,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-07-23,349.52,soggiacenza statica,0.28,349.24,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
49,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-08-13,349.52,soggiacenza statica,0.32,349.2,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
50,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-09-30,349.52,soggiacenza statica,0.37,349.15,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
51,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-10-21,349.52,soggiacenza statica,0.23,349.29,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
52,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-11-18,349.52,soggiacenza statica,0.05,349.47,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
53,BS,GARDONE VAL TROMPIA,PO0170750RC536,2014-12-09,349.52,soggiacenza statica,0.12,349.4,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
54,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-01-27,349.52,soggiacenza statica,0.26,349.26,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
55,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-02-17,349.52,soggiacenza statica,0.36,349.16,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
56,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-03-10,349.52,soggiacenza statica,0.52,349.0,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
57,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-04-27,349.52,soggiacenza statica,0.62,348.9,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
58,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-05-12,349.52,soggiacenza statica,0.69,348.83,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
59,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-06-22,349.52,soggiacenza statica,0.67,348.85,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
60,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-07-15,349.52,soggiacenza statica,0.72,348.8,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
61,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-08-19,349.52,soggiacenza statica,0.63,348.89,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
62,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-09-25,349.52,soggiacenza statica,0.5,349.02,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
63,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-10-12,349.52,soggiacenza statica,0.48,349.04,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
64,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-11-18,349.52,soggiacenza statica,0.61,348.91,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
65,BS,GARDONE VAL TROMPIA,PO0170750RC536,2015-12-16,349.52,soggiacenza statica,0.66,348.86,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
66,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-02-18,349.52,soggiacenza statica,0.48,349.04,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
67,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-04-26,349.52,soggiacenza statica,0.73,348.79,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
68,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-05-30,349.52,soggiacenza statica,0.61,348.91,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
69,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-06-08,349.52,soggiacenza statica,0.58,348.94,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
70,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-08-08,349.52,soggiacenza statica,0.65,348.87,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
71,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-10-10,349.52,soggiacenza statica,0.6,348.92,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
72,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-11-03,349.52,soggiacenza statica,0.6,348.92,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
73,BS,GARDONE VAL TROMPIA,PO0170750RC536,2016-12-14,349.52,soggiacenza statica,0.58,348.94,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
74,BS,GARDONE VAL TROMPIA,PO0170750RC536,2018-07-31,349.52,soggiacenza statica,0.41,349.11,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
75,BS,GARDONE VAL TROMPIA,PO0170750RC536,2018-10-01,349.52,soggiacenza statica,0.48,349.04,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
76,BS,GARDONE VAL TROMPIA,PO0170750RC536,2018-11-27,349.52,soggiacenza statica,0.33,349.19,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
77,BS,GARDONE VAL TROMPIA,PO0170750RC536,2018-12-19,349.52,soggiacenza statica,0.35,349.17,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
78,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-01-10,349.52,soggiacenza statica,0.35,349.17,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
79,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-02-07,349.52,soggiacenza statica,0.17,349.35,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
80,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-04-05,349.52,soggiacenza statica,0.04,349.48,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
81,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-05-14,349.52,soggiacenza statica,0.21,349.31,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
82,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-06-28,349.52,soggiacenza statica,0.27,349.25,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
83,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-07-29,349.52,soggiacenza statica,0.2,349.32,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
84,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-08-28,349.52,soggiacenza statica,0.27,349.25,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
85,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-10-10,349.52,soggiacenza statica,0.44,349.08,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
86,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-11-21,349.52,soggiacenza statica,0.17,349.35,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
87,BS,GARDONE VAL TROMPIA,PO0170750RC536,2019-12-20,349.52,soggiacenza statica,0.21,349.31,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
88,BS,GARDONE VAL TROMPIA,PO0170750RC536,2020-01-23,349.52,soggiacenza statica,0.16,349.36,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
89,BS,GARDONE VAL TROMPIA,PO0170750RC536,2020-08-13,349.52,soggiacenza statica,0.22,349.3,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
90,BS,GARDONE VAL TROMPIA,PO0170750RC536,2020-10-06,349.52,soggiacenza statica,0.37,349.15,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
91,BS,GARDONE VAL TROMPIA,PO0170750RC536,2020-12-03,349.52,soggiacenza statica,0.41,349.11,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
