,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
15,PV,CANDIA LOMELLINA,PO0180270U0001,2012-11-09,103.848,soggiacenza statica,3.35,100.498,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180690U0001,9.37,9.37,9.55,9.94,9.425,10.125,9.59,10.8,10,10.45,9.567499999999999,10.2375,8.82,9.26,8.2,9.225000000000001,8.219999999999999,9.1875,8.705,8.825,8.91,9.225000000000001,9.26,9.627500000000001
16,PV,CANDIA LOMELLINA,PO0180270U0001,2013-02-07,103.848,soggiacenza statica,3.6,100.248,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180880U0003,4.53,5.1,4.3,5,4.425,5.29,3.8475,5.1425,3.8925,4.805,2.93,4.2,2.61,3.4,2.64,3.29,3.58,3.98,3.9375,4.43,4.365,4.6425,4.2475000000000005,4.8375
17,PV,CANDIA LOMELLINA,PO0180270U0001,2013-05-16,103.848,soggiacenza statica,3.27,100.578,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0181300U0001,3.315,3.5875,3.15,3.685,3.375,3.725,3.15,3.55,2.2275,2.5975,1.7875,2.2,1.6724999999999999,2.275,1.6749999999999998,2.355,2.7,3.1,3.1,3.41,3.1849999999999996,3.545,3.2125,3.65
18,PV,CANDIA LOMELLINA,PO0180270U0001,2013-08-20,103.848,soggiacenza statica,1.55,102.298,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0181640U0001,2.91,3.05,2.675,3.05,2.245,2.95,2.6,3,2.485,2.8850000000000002,2.1750000000000003,2.525,2.05,2.5,1.9575,2.25,1.92,2.51,2.6,3.02,2.4575,3.0349999999999997,2.78,3.175
19,PV,CANDIA LOMELLINA,PO0180270U0001,2013-10-28,103.848,soggiacenza statica,3.18,100.668,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PV,CANDIA LOMELLINA,PO0180270U0001,2014-02-10,103.848,soggiacenza statica,3.13,100.718,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PV,CANDIA LOMELLINA,PO0180270U0001,2014-05-14,103.848,soggiacenza statica,3.27,100.578,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PV,CANDIA LOMELLINA,PO0180270U0001,2014-11-11,103.848,soggiacenza statica,3.33,100.518,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PV,CANDIA LOMELLINA,PO0180270U0001,2015-02-24,103.848,soggiacenza statica,3.57,100.278,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PV,CANDIA LOMELLINA,PO0180270U0001,2015-05-19,103.848,soggiacenza statica,3.49,100.358,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PV,CANDIA LOMELLINA,PO0180270U0001,2015-08-21,103.848,soggiacenza statica,1.73,102.118,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PV,CANDIA LOMELLINA,PO0180270U0001,2015-11-19,103.848,soggiacenza statica,3.6,100.248,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PV,CANDIA LOMELLINA,PO0180270U0001,2016-02-16,103.848,soggiacenza statica,4.42,99.428,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PV,CANDIA LOMELLINA,PO0180270U0001,2016-03-31,103.848,soggiacenza statica,4.3,99.548,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PV,CANDIA LOMELLINA,PO0180270U0001,2016-04-26,103.848,soggiacenza statica,3.9,99.948,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
