,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
16,PV,BELGIOIOSO,PO0180130U0005,2010-05-25,74.964,soggiacenza statica,11.6,63.364,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
17,PV,BELGIOIOSO,PO0180130U0005,2010-06-29,74.964,soggiacenza statica,11.15,63.814,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180130U0005,11.475000000000001,11.8,11.485,11.925,11.46,12.025,11.5,11.885,11.45,11.83,11.1,11.27,10.76,11.5,10.46,10.7475,10.6,11.05,10.85,11.05,11.03,11.475,11.34,11.55
18,PV,BELGIOIOSO,PO0180130U0005,2010-07-28,74.964,soggiacenza statica,11.5,63.464,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018014NRP001,13.1125,13.3325,13.1325,13.5525,13.72,14,14.17,14.245000000000001,13.975,14.085,13.53,13.71,12.505,13.0525,12.13,12.35,12.055,12.235,12.35,12.5,12.75,12.87,12.96,13.05
19,PV,BELGIOIOSO,PO0180130U0005,2010-09-21,74.964,soggiacenza statica,10.9,64.064,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018043NUP001,2.2,2.3,2.2,2.3,2.2,2.3,2.1900000000000004,2.3175,2.1,2.1,2.02,2.2,2,2.05,1.98,2.05,2,2.0749999999999997,2.12,2.15,2.175,2.2,2.15,2.21
20,PV,BELGIOIOSO,PO0180130U0005,2010-10-19,74.964,soggiacenza statica,10.92,64.044,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180480U0004,4.625,5.045,4.6450000000000005,5.0375,4.46,5,4.7325,4.975,4.49,5.05,4.4,4.8,4.47,5.6,4.82,5,4.64,4.925000000000001,4.470000000000001,4.975,4.695,5.050000000000001,4.4275,4.9125
21,PV,BELGIOIOSO,PO0180130U0005,2010-11-25,74.964,soggiacenza statica,11.0,63.964,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018048NRP001,3.0650000000000004,3.465,2.38,3.04,2.395,2.92,2.8600000000000003,2.92,2.82,3.3249999999999997,2.505,3.035,3.02,3.14,2.8375,2.9125,2.705,3,2.56,2.8200000000000003,2.7225,2.995,2.9,3.21
22,PV,BELGIOIOSO,PO0180130U0005,2010-12-21,74.964,soggiacenza statica,11.6,63.364,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018072NUP001,3.7249999999999996,4.125,3.85,4.25,3.875,4.154999999999999,3.985,4.24,3.8499999999999996,3.95,3.4,3.8,3.1075,3.15,3.05,3.45,3.375,3.6375,3.62,3.8225,3.75,3.8,3.6,3.8
23,PV,BELGIOIOSO,PO0180130U0005,2011-01-18,74.964,soggiacenza statica,11.35,63.614,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180810U0111,5.25,5.25,2.675,4.025,,,4.15,4.305,3.3062500000000004,3.51875,2.53,2.53,2.53,2.53,2,4,,,3.0700000000000003,3.13,2.7,2.7,,
24,PV,BELGIOIOSO,PO0180130U0005,2011-02-11,74.964,soggiacenza statica,11.52,63.444,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0181100U0111,4.73,5.3375,5.15,5.5125,5.3,5.4750000000000005,5.2575,5.577500000000001,4.5875,4.9625,3.7,4.1,3.3,3.5,3.3,3.6,4.015,4.4,4.59,4.78,4.62,4.87,4.5,4.75
25,PV,BELGIOIOSO,PO0180130U0005,2011-03-15,74.964,soggiacenza statica,11.4,63.564,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018173NUP001,2.2125,2.55,2.325,2.55,2.2,2.51,2.48,2.9450000000000003,2.2125,2.3375,1.6,1.8,1.4124999999999999,1.4875,1.47,1.5,1.795,2.225,2.0599999999999996,2.3375,2.25,2.375,2.15,2.36
