,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,INT_Q_SOGG,INF.1,SUP.1,OUTLIER_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 25,Unnamed: 26,Etichette di colonna,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
10,BS,PONTEVICO,PO0171490UC593,2011-11-24,47.52,soggiacenza statica,7.53,39.99,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO019054NUP001,67.22,67.5,9.47,9.75,,PO019047NUP001,,,11.4,11.635,,,,,11.5425,11.594999999999999,11.32,11.32,11.61,11.83,,,11.96,11.96,11.51,11.51,11.524999999999999,11.620000000000001,11.61,11.61
11,BS,PONTEVICO,PO0171490UC593,2011-12-22,47.52,soggiacenza statica,7.55,39.97,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO0190560U0563,32.07975302419352,32.942499999999995,10.1375,11.00024697580648,,PO019049NUP001,8.982110532187614,9.177581596562836,8.36,8.89784841954024,9.13255208333333,9.32876512096773,9.339438368055546,9.405960937499993,8.45,9.448104838709687,8.875361111111122,9.794967013888904,8.57,9.592503360215074,9.057631048387087,9.662283266129016,8.813152777777788,9.44924305555557,9.146249999999991,9.21388440860215,8.27,8.868118055555547,8.598877688172038,9.06908602150537
12,BS,PONTEVICO,PO0171490UC593,2012-01-26,47.52,soggiacenza statica,7.51,40.01,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO0190690U0694,34.315,35.25,9.53,10.465,,PO019054NUP001,9.25,9.25,9.74,9.75,,,,,9.775,9.82,9.61,9.61,9.47,9.61,,,9.47,9.47,9.49,9.49,9.2225,9.6425,9.77,9.77
13,BS,PONTEVICO,PO0171490UC593,2012-02-29,47.52,soggiacenza statica,7.69,39.83,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO0190710U0713,27.18,27.5,0.59,0.91,,PO0190560U0563,10.059999999999999,10.462936827956977,10.442499999999999,10.708813368765327,9.66,10.543688676075268,10.124105902777778,10.572317708333337,9.3575,10.675,9.942499999999999,10.987421875000035,11.06,11.447704973118302,11.594471606182788,11.603414818548362,10.28,11.26,11.066589381720418,11.066589381720418,10.4075,10.865842013888894,10.025,10.690625000000002
14,BS,PONTEVICO,PO0171490UC593,2012-03-28,47.52,soggiacenza statica,7.8,39.72,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO019076NUP001,43.412499999999994,43.7675,2.4525,2.8075,,PO0190690U0694,9.809999999999999,9.985,9.585,9.9325,9.01,9.7925,10.087499999999999,10.5225,8.96,9.54,9.62,10.34,9.98,10.48,11.02,11.02,10.07,10.98,10.39,10.39,9.94,10.41,9.442499999999999,10.03
15,BS,PONTEVICO,PO0171490UC593,2012-04-19,47.52,soggiacenza statica,7.68,39.84,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO019077NU0771,36.085,36.82,12.7,13.434999999999999,,PO0190710U0713,,,,,0.5675,0.6425000000000001,,,,,0.665,0.9025,0.5575,0.6125,,,0.77,0.99,,,0.59,0.74,0.91,0.91
16,BS,PONTEVICO,PO0171490UC593,2012-05-23,47.52,soggiacenza statica,7.7,39.82,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO019080NU0802,60.4225,60.72,8.68,8.977500000000001,,PO019076NUP001,2.39,2.39,2.6425,2.795,,,,,2.6275,2.8024999999999998,2.445,2.455,2.8075,2.875,,,2.49,2.57,,,2.285,2.605,2.45,2.45
17,BS,PONTEVICO,PO0171490UC593,2012-06-28,47.52,soggiacenza statica,10.9,36.62,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,PO019081NUP001,65.739,66.08149999999999,9.8975,10.24,,PO019077NU0771,12.655,12.765,12.66,13.129999999999999,12.55,13.1,12.69,12.71,12.16,12.99,12.88,13.35,13.2,13.7,13.7575,14.192499999999999,13.33,14.15,13.05,13.05,12.93,13.4375,12.745000000000001,12.9925
18,BS,PONTEVICO,PO0171490UC593,2012-07-31,47.52,soggiacenza statica,11.92,35.6,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996,OUTLIER,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075,OUTLIER,PO0190860U0865,81.915,82.2025,1.0175,1.305,,PO019080NU0802,8.65,8.887500000000001,8.68,8.915,8.64,9.01,8.805,9.024999999999999,8.93,9.135,8.719999999999999,9.120000000000001,8.89,9.15,8.92,9.05,8.67,8.94,8.81,8.83,8.555,8.805,8.55,8.83
19,BS,PONTEVICO,PO0171490UC593,2012-08-24,47.52,soggiacenza statica,12.1,35.42,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996,OUTLIER,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075,OUTLIER,,,,,,,PO019081NUP001,,,9.8875,10.115,,,10.45,10.45,10.2,10.274999999999999,10.06,10.06,10.23,10.37,,,9.78,9.78,9.9,9.9,9.885,9.985,9.89,9.89
20,BS,PONTEVICO,PO0171490UC593,2012-09-25,47.52,soggiacenza statica,9.15,38.37,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,PO0190860U0865,,,,,,,,,1.5,1.5,1.01,1.01,,,,,1.24,1.24,,,1.02,1.02,,
21,BS,PONTEVICO,PO0171490UC593,2012-10-29,47.52,soggiacenza statica,8.01,39.51,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BS,PONTEVICO,PO0171490UC593,2012-11-26,47.52,soggiacenza statica,7.63,39.89,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BS,PONTEVICO,PO0171490UC593,2012-12-18,47.52,soggiacenza statica,7.49,40.03,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BS,PONTEVICO,PO0171490UC593,2013-01-29,47.52,soggiacenza statica,7.3,40.22,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BS,PONTEVICO,PO0171490UC593,2013-02-26,47.52,soggiacenza statica,7.2,40.32,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BS,PONTEVICO,PO0171490UC593,2013-03-26,47.52,soggiacenza statica,7.11,40.41,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BS,PONTEVICO,PO0171490UC593,2013-04-23,47.52,soggiacenza statica,6.96,40.56,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BS,PONTEVICO,PO0171490UC593,2013-05-20,47.52,soggiacenza statica,6.85,40.67,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BS,PONTEVICO,PO0171490UC593,2013-06-21,47.52,soggiacenza statica,7.95,39.57,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BS,PONTEVICO,PO0171490UC593,2013-07-26,47.52,soggiacenza statica,9.02,38.5,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BS,PONTEVICO,PO0171490UC593,2013-08-20,47.52,soggiacenza statica,8.96,38.56,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BS,PONTEVICO,PO0171490UC593,2013-09-24,47.52,soggiacenza statica,7.75,39.77,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BS,PONTEVICO,PO0171490UC593,2013-10-22,47.52,soggiacenza statica,7.41,40.11,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BS,PONTEVICO,PO0171490UC593,2013-11-21,47.52,soggiacenza statica,7.28,40.24,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BS,PONTEVICO,PO0171490UC593,2013-12-18,47.52,soggiacenza statica,7.23,40.29,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BS,PONTEVICO,PO0171490UC593,2014-01-21,47.52,soggiacenza statica,6.97,40.55,38.5,40.096505376344,1.5965053763439983,36.105241935484,42.491263440859996, ,7.423494623655949,9.02,1.5965053763440507,5.0287365591398725,11.414758064516075, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
