,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
10,VA,ALBIZZATE,PO012002NU0008,2012-07-31,313.8,soggiacenza statica,8.1,305.7,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0121300RZ001,30.0,34.21,169.44,173.65,,PO012119NUP001,40.54,44.58,39.995000000000005,44.075,40.205,44.32,40.58,44.605,38.7,44.54,39.715,45.3725,39.8875,45.480000000000004,38.4975,42.945,39.63,44.3,40.6125,45.022499999999994,39.99,44.41,40.07,44.43
11,VA,ALBIZZATE,PO012002NU0008,2012-08-31,313.8,soggiacenza statica,9.61,304.19,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012136NUZ001,35.31,38.120000000000005,277.589,280.399,,PO012123NUP001,51.34,52.875,51.45,52.89,51.585,52.92,51.3725,52.8775,51.3125,52.839999999999996,50.99,52.24,51.2975,52.5775,51.3925,52.765,51.629999999999995,53.2025,51.805,53.05,51.63,52.91,51.76,52.6275
12,VA,ALBIZZATE,PO012002NU0008,2012-09-27,313.8,soggiacenza statica,10.09,303.71,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0130230U0003,8.15,10.75,361.334,363.934,,PO0121300RZ001,30.62,33.36,30.43,33.765,29.8175,33.265,29.189999999999998,34.07,29.71,33.92,30.125,33.947500000000005,29.9525,34.052499999999995,30.375,34.09,30.16,33.52,30.975,34.335,31.02,34.39,30.6,34.2275
13,VA,ALBIZZATE,PO012002NU0008,2012-10-30,313.8,soggiacenza statica,11.95,301.85,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0130280U0009,56.0,57.9,223.648,225.548,,PO012136NUZ001,35.5475,37.8025,35.12,38.07,35.3925,38.18,35.3475,38.1725,34.815000000000005,38.2575,34.7725,37.855000000000004,34.9175,37.785,35.1075,37.36,35.035,38.125,35.817499999999995,38.442499999999995,35.97,37.86,36.2075,38.1875
14,VA,ALBIZZATE,PO012002NU0008,2012-11-30,313.8,soggiacenza statica,9.27,304.53,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO013029NU0003,34.075,57.095,283.776,306.796,,PO0130230U0003,7.89,9.91,8.16,10.36,8.1025,10.535,8.15,10.51,7.685,9.9275,8.17,9.96,8.53,10.945,7.5275,11.125,8.005,10.9475,8.780000000000001,11.18,8.76,11.67,7.6125,10.5525
15,VA,ALBIZZATE,PO012002NU0008,2012-12-31,313.8,soggiacenza statica,8.74,305.06,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0130460U0001,34.75,39.65,210.698,215.598,,PO0130280U0009,56.5,57.5,56.275000000000006,57.85,56.425,57.675,56.3,57.5,55.7875,57.475,55.55,58.05,55.6,58,55.75,58.0125,55.75,57.474999999999994,56.3,57.9,56.3,58.465,56.575,57.3
16,VA,ALBIZZATE,PO012002NU0008,2013-01-30,313.8,soggiacenza statica,8.73,305.07,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO013064NU0002,86.5,90.1,211.832,215.432,,PO013029NU0003,34.1375,55.8525,38.760000000000005,57.262499999999996,34.3,55.5725,33.9,57.260000000000005,51.76,58,53.62,57.65,53.79,57.32,34.2375,56.182500000000005,32.8375,56.4375,33.6375,57.315,33.9625,56.565,33.17,56.6175
17,VA,ALBIZZATE,PO012002NU0008,2013-02-28,313.8,soggiacenza statica,8.75,305.05,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0131310U0001,37.150000000000006,40.275000000000006,232.667,235.792,,PO0130460U0001,37.8125,41.25,34.425,40.25,34.825,40.275,34.6475,38.6125,34.75,38.95,34.6625,38.375,34.55,39.099999999999994,36.35,39.15,34.625,39.05,34.725,38.5,35.849999999999994,38.4625,34.75,38.75
18,VA,ALBIZZATE,PO012002NU0008,2013-03-30,313.8,soggiacenza statica,7.7,306.1,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0131330U0009,67.4,71.8,232.005,236.405,,PO013064NU0002,86.6875,89.925,86.24,89.775,85.575,89.95,85.2,90.4,86.225,90.175,86.2,90,86.5,91,86.8,90.575,87,89.8,87.325,89.7,86.45,90.045,87.775,89.75
19,VA,ALBIZZATE,PO012002NU0008,2013-07-30,313.8,soggiacenza statica,9.99,303.81,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO013138NU0001,24.28,27.570392156862763,298.77060784313727,302.061,,PO0131310U0001,38.400000000000006,40.55,37.925,40.400000000000006,36.7,39.7,37.025000000000006,39.975,37.2,39.7,37.3,40.325,37,40,37.150000000000006,38.875,36.875,39.3,37.9,40.5,37.2,40.15,37.2,40.5
