,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
21,SO,ARDENNO,PO0140050R0003,2008-02-28,272.71,soggiacenza statica,13.61,259.1,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
22,SO,ARDENNO,PO0140050R0003,2008-03-27,272.71,soggiacenza statica,13.56,259.15,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
23,SO,ARDENNO,PO0140050R0003,2008-04-23,272.71,soggiacenza statica,13.21,259.5,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
24,SO,ARDENNO,PO0140050R0003,2008-05-19,272.71,soggiacenza statica,12.76,259.95,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
25,SO,ARDENNO,PO0140050R0003,2008-06-25,272.71,soggiacenza statica,12.81,259.9,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
26,SO,ARDENNO,PO0140050R0003,2008-07-31,272.71,soggiacenza statica,12.56,260.15,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
27,SO,ARDENNO,PO0140050R0003,2008-08-28,272.71,soggiacenza statica,13.05,259.66,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
28,SO,ARDENNO,PO0140050R0003,2008-09-23,272.71,soggiacenza statica,13.01,259.7,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
29,SO,ARDENNO,PO0140050R0003,2008-10-23,272.71,soggiacenza statica,13.31,259.4,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
30,SO,ARDENNO,PO0140050R0003,2008-11-13,272.71,soggiacenza statica,12.51,260.2,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
31,SO,ARDENNO,PO0140050R0003,2008-12-16,272.71,soggiacenza statica,12.73,259.98,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
32,SO,ARDENNO,PO0140050R0003,2009-01-30,272.71,soggiacenza statica,13.01,259.7,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
33,SO,ARDENNO,PO0140050R0003,2009-02-26,272.71,soggiacenza statica,13.01,259.7,12.5675,13.112499999999999,259.5975,260.1425,0.5449999999999591,258.7800000000001,260.9599999999999,,,,,,,,,,,,,,
