,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
11,MI,ABBIATEGRASSO,PO015002NUP001,2017-07-01,116.703,soggiacenza statica,2.28,114.423,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151250U0001,89.288,91.108,5.32,7.14,,PO015113NUP002,15.1525,15.9175,14.825,15.45,14.925,15.61,15.4225,16.125,14.57,16.14,12.9625,15.1075,14.85,14.85,11.755,11.965,11.3925,11.5775,11.7,13.06,12.35,12.35,11.115,12.045
12,MI,ABBIATEGRASSO,PO015002NUP001,2017-08-01,116.703,soggiacenza statica,1.9,114.803,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151460U0031,102.67,103.37,10.8,11.5,,PO015118NUP001,30.832500000000003,31.9375,30.25,31.265,30.235,31.19,30.770000000000003,31.490000000000002,30.744999999999997,31.494999999999997,30.485,30.955000000000002,31.2,31.2,30.61,31.285,30.1525,30.7775,31.3825,31.927500000000002,31.46,31.975,31.177500000000002,31.3925
13,MI,ABBIATEGRASSO,PO015002NUP001,2017-09-01,116.703,soggiacenza statica,2.0,114.703,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151460U0037,106.13499999999999,107.92,15.86,17.645000000000003,,PO0151250U0001,5.28,6.98,5.9,7.025,5.43,7.14,5.61,7.29,5.27,6.97,5.88,7.08,5.75,7.25,6.75,7.04,4.9725,7.032500000000001,5.32,7.21,6.695,7.3975,5.89,7.08
14,MI,ABBIATEGRASSO,PO015002NUP001,2017-10-01,116.703,soggiacenza statica,3.46,113.243,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151460U0290,109.2675,110.2,11.51,12.4425,,PO0151460U0031,11,11.2,11,11.7,10.675,11.4625,10.75,11.274999999999999,10.8,11.5,10.4,11.5,10.7,11.4,10.8375,11.325000000000001,11.1,11.8,11,12.1,10.700000000000001,11.425,10.8,12.45
15,MI,ABBIATEGRASSO,PO015002NUP001,2017-11-01,116.703,soggiacenza statica,3.5,113.203,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151460U0413,101.1,102.295,7.015000000000001,8.21,,PO0151460U0037,15.455,16.46,15.940000000000001,16.835,16.1,17.205,16.6725,17.520000000000003,16.9775,18.945,17.67,17.67,17.57,17.57,16.439999999999998,16.66,16.5025,18.4475,17.14,20.36,18.490000000000002,20.61,15.649999999999999,17.42
16,MI,ABBIATEGRASSO,PO015002NUP001,2017-12-01,116.703,soggiacenza statica,4.1,112.603,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151670U0001,97.482,98.412,4.225,5.155,,PO0151460U0290,11.85,12.6425,11.105,12.7675,11.91,12.5,11.685,12.035,11.985,12.695,11.7225,12.16,11.684999999999999,12.52,11.51,12.59,11.7575,12.135000000000002,11.36,12.31,11.56,12.0225,11.21,11.99
17,MI,ABBIATEGRASSO,PO015002NUP001,2018-01-01,116.703,soggiacenza statica,1.87,114.833,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151920U0005,93.88,95.38,8.01,9.51,,PO0151460U0413,6.53,7.64,7.03,7.77,7.8,8.47,7.074999999999999,7.57,7.57,8.4,8.21,8.719999999999999,7.85,8.735,6.9325,7.8025,7.0925,8.7675,7.23,8.3,6.53,7.67,6.43,7.2700000000000005
18,MI,ABBIATEGRASSO,PO015002NUP001,2018-02-01,116.703,soggiacenza statica,1.82,114.883,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0152050U0138,104.72,105.7525,5.2675,6.3,,PO0151670U0001,4.38,5.4,4.41,5.4,4.6225,5.29,4.6075,5.435,4.515,5.112500000000001,4.485,4.8774999999999995,4.2175,4.665,3.67,4.48,4.01,5.1575,4.25,5.19,4.08,5.49,4.1375,4.925
19,MI,ABBIATEGRASSO,PO015002NUP001,2018-03-01,116.703,soggiacenza statica,2.09,114.613,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0152260U0002,137.33800000000002,137.71800000000002,5.09,5.470000000000001,,PO0151920U0005,8.035,10.125,7.975,9.65,8.092500000000001,10.45,7.859999999999999,9.309999999999999,7.83,9.64,8.01,9.14,8.285,8.84,8.26,9.8,8.075,9.075,8.317499999999999,9.5,7.965,9.52,7.845000000000001,9.425
20,MI,ABBIATEGRASSO,PO015002NUP001,2018-04-01,116.703,soggiacenza statica,2.22,114.483,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0152360U0003,96.2325,96.8475,3.9225,4.5375,,PO0152050U0138,5.39,6.325,5.4275,6.1125,5.49,6.4750000000000005,5.297499999999999,6.3525,5.300000000000001,6.4425,5.25,6.32,5.27,5.91,4.98,6.2,5.1925,5.702500000000001,5.4,5.98,5.3100000000000005,6.225,5.21,6.5
