,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
25,BS,DARFO BOARIO TERME,PO0170650U0001,2020-06-11,218.43,soggiacenza statica,5.91,212.52,210.33,212.52,2.1899999999999977,207.04500000000002,215.805, ,5.91,8.1,,,,,
26,BS,DARFO BOARIO TERME,PO0170650U0001,2020-08-25,218.43,soggiacenza statica,6.22,212.21,210.33,212.52,2.1899999999999977,207.04500000000002,215.805, ,5.91,8.1,,,,,
27,BS,DARFO BOARIO TERME,PO0170650U0001,2020-10-22,218.43,soggiacenza statica,5.81,212.62,210.33,212.52,2.1899999999999977,207.04500000000002,215.805, ,5.91,8.1,,,,,
28,BS,DARFO BOARIO TERME,PO0170650U0001,2020-12-16,218.43,soggiacenza statica,5.25,213.18,210.33,212.52,2.1899999999999977,207.04500000000002,215.805, ,5.91,8.1,,,,,
29,BS,PISOGNE,PO0171430RC548,2009-05-25,190.26,soggiacenza statica,2.13,188.13,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
30,BS,PISOGNE,PO0171430RC548,2009-10-14,190.26,soggiacenza statica,3.2,187.06,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
31,BS,PISOGNE,PO0171430RC548,2010-01-28,190.26,soggiacenza statica,1.9,188.36,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
32,BS,PISOGNE,PO0171430RC548,2010-09-20,190.26,soggiacenza statica,2.01,188.25,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
33,BS,PISOGNE,PO0171430RC548,2010-10-27,190.26,soggiacenza statica,2.15,188.11,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
34,BS,PISOGNE,PO0171430RC548,2011-01-11,190.26,soggiacenza statica,2.31,187.95,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
35,BS,PISOGNE,PO0171430RC548,2011-02-08,190.26,soggiacenza statica,2.42,187.84,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
36,BS,PISOGNE,PO0171430RC548,2011-03-22,190.26,soggiacenza statica,2.5,187.76,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
37,BS,PISOGNE,PO0171430RC548,2011-04-14,190.26,soggiacenza statica,2.48,187.78,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
38,BS,PISOGNE,PO0171430RC548,2011-05-17,190.26,soggiacenza statica,2.5,187.76,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
39,BS,PISOGNE,PO0171430RC548,2011-06-02,190.26,soggiacenza statica,2.51,187.75,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
40,BS,PISOGNE,PO0171430RC548,2011-07-18,190.26,soggiacenza statica,2.5,187.76,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
41,BS,PISOGNE,PO0171430RC548,2011-08-10,190.26,soggiacenza statica,2.78,187.48,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
42,BS,PISOGNE,PO0171430RC548,2011-09-22,190.26,soggiacenza statica,2.63,187.63,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
43,BS,PISOGNE,PO0171430RC548,2011-10-26,190.26,soggiacenza statica,2.45,187.81,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
44,BS,PISOGNE,PO0171430RC548,2011-11-17,190.26,soggiacenza statica,2.32,187.94,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
45,BS,PISOGNE,PO0171430RC548,2011-12-05,190.26,soggiacenza statica,2.48,187.78,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
46,BS,PISOGNE,PO0171430RC548,2012-01-13,190.26,soggiacenza statica,3.05,187.21,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
47,BS,PISOGNE,PO0171430RC548,2012-02-24,190.26,soggiacenza statica,3.24,187.02,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
48,BS,PISOGNE,PO0171430RC548,2012-03-15,190.26,soggiacenza statica,3.3,186.96,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
49,BS,PISOGNE,PO0171430RC548,2012-04-17,190.26,soggiacenza statica,4.05,186.21,187.2,187.99,0.7900000000000205,186.01499999999996,189.17500000000004, ,2.27,3.06,,,,,
