PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02
PV,SANTA CRISTINA 1,14,via Milano,1531060,5000720,71,,X,2,,,,,,,,,54.26,54.59,54.8,54.36,53.4,53.67,54.1,52.9,54.02,53,53,53.27,54.37,54.18
PV,SOMMO 2,2,via XXV aprile,1506780,4998055,79,,X,3,,,,,,,,,63.1,62.93,63.49,62.67,62.54,62.35,62.35,62.17,62.21,62.46,62.58,59.69,62.95,62.97
PV,TORRAZZA COSTE,22,S. Giorgio,1505680,4980505,116,,X,1,,,,,,,,,113.18,112.94,113.12,113.31,113.25,113.21,113.28,113.26,113.25,113.33,113.2,113.15,113.33,113.29
PV,TORRE D'ARESE 1,9,via Morivione,1525160,5009820,77.4,,X,3,,,,,,,,,74.28,73.8,74.39,73.6,73.28,,73.18,74.05,73,73.14,73.6,73.72,74.3,74.17
PV,TROMELLO 1,61,Castellaro,1477165,4991375,92,,,,,,,,,,,,92.08,90.95,90.1,89.93,89.99,,,,,,,,,
PV,VALLE LOMELLINA 1,43,,1473630,4999300,101.7,,X,3,,,,,,,,,99.91,98.7,98.36,98.16,97.9,97.58,97.49,97.37,97.72,99.37,99.82,100,99.87,98.82
PV,VERRUA 2,19,Canova,1513160,4994640,60,,,,,,,,,,,,57.08,57.07,57.98,56.83,56.8,,,,,,,,,
PV,VIGEVANO 17,49,Corso Brodolini,1488985,5016985,102.5,,,,,,,,,,,,99.62,99.2,98.76,98.27,98.07,,,,,,,,,
PV,VIGEVANO 20,50,via S. Maria,1488935,5017060,103,,X,1,,,,,,,,,99.32,98.97,98.57,98.08,97.88,97.42,97.6,98.65,97.3,98.15,98.43,99.2,99.4,99
PV,VIGAVANO 4,47,presso Coop,1489525,5017860,103.5,,,,,,,,,,,,96.12,96.04,95.7,95.56,95.45,,,,,,,,,
PV,VIGEVANO 9,48,Vallettta Fogliano,1487880,5016710,117,,X,3,,,,,,,,,106.07,106.54,106.06,105.06,105.8,105.05,104.28,105.5,105.84,105.54,105.6,105.9,105.96,106.22
PV,VOGHERA 1,27,via Volturno,1501045,4981950,98.4,,X,2,,,,,,,,,75.2,75.16,75.3,75.3,74.9,74.5,74.39,74.2,74.2,74.6,74.3,73.9,73.8,73.9
PV,VOGHERA 8,20,via Bassi,1499680,4983305,90.5,,X,3,,,,,,,,,74.51,74.3,74.3,73.9,73.7,,73.15,73,73.58,73.15,72.82,72.8,72.69,72.7
PV,ZERBOLÒ 1,3,Viale Libertà,1501220,5005810,67.7,,,,,,,,,,,,,67.05,67.01,66.89,66.83,,,,,,,,,
PV,ZINASCO 2,1,S.P. Alessandria-Pavia,1501635,4996750,82.2,,,,,,,,,,,,67.91,67.64,67.52,67.25,67.1,,,,,,,,,
