CODICE PUNTO,DATA,PIEZOMETRIA [m s.l.m.]
PO0160240R0296,2011-01-25,181.69
PO0160240R0296,2011-02-22,179.72
PO0160240R0296,2011-03-15,177.5
PO0160240R0296,2011-04-14,177.17
PO0160240R0296,2011-05-04,180.38
PO0160240R0296,2011-06-06,180.62
PO0160240R0296,2011-07-20,180.51
PO0160240R0296,2011-08-12,181.07
PO0160240R0296,2011-09-09,180.51
PO0160240R0296,2011-10-07,179.38
PO0160240R0296,2011-11-07,179.72
PO0160240R0296,2011-12-01,178.2
PO0160240R0296,2012-01-09,176.47
PO0160240R0296,2012-02-06,174.95
PO0160240R0296,2012-03-09,174.64
PO0160240R0296,2012-04-05,177.47
PO0160240R0296,2012-05-03,180.2
PO0160240R0296,2012-06-07,180.05
PO0160240R0296,2012-07-04,182.82
PO0160240R0296,2012-08-01,181.91
PO0160240R0296,2012-09-07,180.33
PO0160240R0296,2012-10-15,179.05
PO0160240R0296,2012-11-16,180.28
PO0160240R0296,2012-12-07,179.38
PO0160240R0296,2013-01-03,179.22
PO0160240R0296,2013-02-08,180.23
PO0160240R0296,2013-03-08,178.95
PO0160240R0296,2013-04-02,180.83
PO0160240R0296,2013-05-10,181.28
PO0160240R0296,2013-06-07,182.49
PO0160240R0296,2013-07-12,182.33
PO0160240R0296,2013-08-05,182.11
PO0160240R0296,2013-09-06,181.24
PO0160240R0296,2013-10-09,180.4
PO0160240R0296,2013-11-26,180.89
PO0160240R0296,2013-12-11,180.3
PO0160240R0296,2014-01-17,180.95
PO0160240R0296,2014-02-14,183.22
PO0160240R0296,2014-03-20,179.99
PO0160240R0296,2014-04-23,179.56
PO0160240R0296,2014-05-22,179.85
PO0160240R0296,2014-06-20,182.41
PO0160240R0296,2014-07-24,185.02
PO0160240R0296,2014-08-22,183.96
PO0160240R0296,2014-09-12,182.71
PO0160240R0296,2014-10-31,180.92
PO0160240R0296,2014-11-26,182.71
PO0160240R0296,2014-12-18,182.53
PO0160240R0296,2015-01-12,180.05
PO0160240R0296,2015-02-02,180.15
PO0160240R0296,2015-03-04,179.42
PO0160240R0296,2015-04-20,179.56
PO0160240R0296,2015-05-12,179.78
PO0160240R0296,2015-06-05,179.97
PO0160240R0296,2015-07-21,180.43
PO0160240R0296,2015-08-05,180.23
PO0160240R0296,2015-09-04,179.84
PO0160240R0296,2015-10-01,179.52
PO0160240R0296,2015-11-06,179.25
PO0160240R0296,2015-12-01,177.82
PO0160240R0296,2016-01-15,178.14
PO0160240R0296,2016-02-02,175.7
PO0160240R0296,2016-03-03,175.66
PO0160240R0296,2016-04-01,177.25
PO0160240R0296,2016-05-17,179.04
PO0160240R0296,2016-06-24,182.23
PO0160240R0296,2016-07-15,183.18
PO0160240R0296,2016-08-03,183.81
PO0160240R0296,2016-09-02,182.89
PO0160240R0296,2016-10-03,181.57
PO0160240R0296,2016-11-02,180.83
PO0160240R0296,2016-12-02,180.55
PO0160240R0296,2017-01-13,176.58
PO0160240R0296,2017-02-10,177.12
PO0160240R0296,2017-03-01,175.3
PO0160240R0296,2017-04-07,175.02
PO0160240R0296,2017-05-23,180.54
PO0160240R0296,2017-06-19,180.93
PO0160240R0296,2017-07-17,182.0
PO0160240R0296,2017-08-02,182.28
PO0160240R0296,2017-09-08,182.07
PO0160240R0296,2017-10-13,180.81
PO0160240R0296,2017-11-07,179.69
PO0160240R0296,2017-12-18,178.45
PO0160240R0296,2018-01-18,178.2
PO0160240R0296,2018-02-12,177.29
PO0160240R0296,2018-03-09,177.66
PO0160240R0296,2018-04-03,179.2
PO0160240R0296,2018-05-09,181.16
PO0160240R0296,2018-06-15,181.7
PO0160240R0296,2018-07-12,181.92
PO0160240R0296,2018-08-09,182.11
PO0160240R0296,2018-09-24,181.24
PO0160240R0296,2018-12-04,182.09
PO0160240R0296,2019-01-21,179.12
PO0160240R0296,2019-02-06,178.32
PO0160240R0296,2019-03-08,177.75
PO0160240R0296,2019-04-30,178.53
PO0160240R0296,2019-05-16,179.48
PO0160240R0296,2019-06-24,181.15
PO0160240R0296,2019-07-02,181.8
PO0160240R0296,2019-08-21,182.25
PO0160240R0296,2019-09-13,181.85
PO0160240R0296,2019-10-28,181.63
PO0160240R0296,2019-12-19,182.27
PO0160240R0296,2020-01-22,181.94
PO0160240R0296,2020-02-11,180.29
PO0160240R0296,2020-06-24,183.7
PO0160240R0296,2020-07-28,183.05
PO0160240R0296,2020-08-13,183.06
PO0160240R0296,2020-09-18,181.93
PO0160240R0296,2020-10-14,182.44
PO0160240R0296,2021-01-26,181.94
PO0160240R0296,2021-02-19,182.21
PO0160280R0003,2010-01-15,177.164
PO0160280R0003,2010-02-09,176.044
PO0160280R0003,2010-03-10,176.594
PO0160280R0003,2010-05-18,176.374
PO0160280R0003,2010-06-17,176.824
PO0160280R0003,2010-07-09,177.174
PO0160280R0003,2010-08-12,176.764
PO0160280R0003,2010-09-15,176.914
PO0160280R0003,2010-10-13,176.334
PO0160280R0003,2010-11-11,177.394
PO0160280R0003,2010-12-15,178.944
PO0160280R0003,2011-01-12,178.404
PO0160280R0003,2011-02-22,175.834
PO0160280R0003,2011-03-18,175.354
PO0160280R0003,2011-04-15,175.274
PO0160280R0003,2011-05-11,175.404
PO0160280R0003,2011-06-08,175.994
PO0160280R0003,2011-07-08,175.934
PO0160280R0003,2011-08-08,176.704
PO0160280R0003,2011-09-06,176.384
PO0160280R0003,2011-10-07,175.854
PO0160280R0003,2011-11-10,175.374
PO0160280R0003,2011-12-06,175.214
PO0160280R0003,2012-01-13,174.574
PO0160280R0003,2012-02-06,174.474
PO0160280R0003,2012-03-09,173.894
PO0160280R0003,2012-04-05,173.804
PO0160280R0003,2012-05-08,174.924
PO0160280R0003,2012-06-08,175.604
PO0160280R0003,2012-07-06,176.464
PO0160280R0003,2012-08-03,176.794
PO0160280R0003,2012-09-07,176.034
PO0160280R0003,2012-10-01,175.694
PO0160280R0003,2012-11-16,177.874
PO0160280R0003,2012-12-07,177.974
PO0160280R0003,2013-01-02,175.844
PO0160280R0003,2013-02-01,176.114
PO0160280R0003,2013-03-01,175.384
PO0160280R0003,2013-04-02,176.264
PO0160280R0003,2013-05-06,176.614
PO0160280R0003,2013-06-07,177.974
PO0160280R0003,2013-07-11,177.824
PO0160280R0003,2013-08-05,176.834
PO0160280R0003,2013-09-25,175.764
PO0160280R0003,2013-10-09,175.334
PO0160280R0003,2013-11-28,175.444
PO0160280R0003,2013-12-11,175.564
PO0160280R0003,2014-01-17,176.304
PO0160280R0003,2014-02-12,179.184
PO0160280R0003,2014-03-07,178.654
PO0160280R0003,2014-04-16,175.964
PO0160280R0003,2014-05-05,175.504
PO0160280R0003,2014-06-13,176.214
PO0160280R0003,2014-07-28,176.444
PO0160280R0003,2014-08-25,177.504
PO0160280R0003,2014-09-19,178.494
PO0160280R0003,2014-10-31,175.964
PO0160280R0003,2014-11-10,175.884
PO0160280R0003,2014-12-12,178.994
PO0160280R0003,2015-01-12,177.024
PO0160280R0003,2015-02-02,175.804
PO0160280R0003,2015-03-04,176.464
PO0160280R0003,2015-04-10,175.544
PO0160280R0003,2015-05-20,174.914
PO0160280R0003,2015-06-05,175.004
PO0160280R0003,2015-07-23,175.004
PO0160280R0003,2015-08-05,174.764
PO0160280R0003,2015-09-04,174.704
PO0160280R0003,2015-10-01,174.314
PO0160280R0003,2015-11-27,174.684
PO0160280R0003,2015-12-09,174.404
PO0160280R0003,2016-01-18,173.754
PO0160280R0003,2016-02-16,173.944
PO0160280R0003,2016-03-08,175.164
PO0160280R0003,2016-04-01,175.184
PO0160280R0003,2016-05-06,174.844
PO0160280R0003,2016-06-17,177.254
PO0160280R0003,2016-07-14,178.154
PO0160280R0003,2016-08-19,177.764
PO0160280R0003,2016-09-05,177.464
PO0160280R0003,2016-10-05,175.824
PO0160280R0003,2016-11-11,175.044
PO0160280R0003,2016-12-09,175.024
PO0160280R0003,2017-01-13,174.394
PO0160280R0003,2017-02-10,173.904
PO0160280R0003,2017-03-02,173.734
PO0160280R0003,2017-04-14,173.644
PO0160280R0003,2017-05-02,173.594
PO0160280R0003,2017-06-16,175.434
PO0160280R0003,2017-07-14,175.384
PO0160280R0003,2019-09-23,175.594
PO0160280R0003,2019-12-17,177.404
PO0160280R0003,2017-08-01,175.116
PO0160280R0003,2017-09-01,175.03683333333333
PO0160280R0003,2017-10-01,174.59964516129034
PO0160280R0003,2017-11-01,174.0481666666667
PO0160280R0003,2017-12-01,173.85762903225807
PO0160280R0003,2018-01-01,174.00262903225808
PO0160280R0003,2018-02-01,173.91417857142858
PO0160280R0003,2018-03-01,174.1588387096774
PO0160280R0003,2018-04-01,175.56733333333332
PO0160280R0003,2018-05-01,175.79682258064517
PO0160280R0003,2018-06-01,175.56766666666667
PO0160280R0003,2018-07-01,176.19158064516128
PO0160280R0003,2018-08-01,176.09520967741935
PO0160280R0003,2018-09-01,175.33933333333334
PO0160280R0003,2018-10-01,174.37585483870967
PO0160280R0003,2018-11-01,175.54316666666665
PO0160280R0003,2018-12-01,176.13617391304348
PO0160280R0003,2019-01-01,174.67562601626014
PO0160280R0003,2019-02-01,174.2741785714286
PO0160280R0003,2019-03-01,174.36577419354836
PO0160280R0003,2019-04-01,174.58024999999998
PO0160280R0003,2019-05-01,175.4339193548387
PO0160280R0003,2019-06-01,176.03941666666665
PO0160280R0003,2019-07-01,175.8764193548387
PO0160280R0003,2019-08-01,175.73058536585364
PO0160280R0003,2020-01-01,176.903918699187
PO0160280R0003,2020-02-01,175.36994827586207
PO0160280R0003,2020-03-01,174.86851612903226
PO0160280R0003,2020-04-01,174.64133333333334
PO0160280R0003,2020-05-01,174.90198387096777
PO0160280R0003,2020-06-01,175.59291666666667
PO0160280R0003,2020-07-01,176.75456451612902
PO0160280R0003,2020-08-01,176.40182258064516
PO0160280R0003,2020-09-01,175.60991666666666
PO0160280R0003,2020-10-01,175.49198387096772
PO0160280R0003,2020-11-01,175.77891666666667
PO0160280R0003,2020-12-01,175.86117741935482
PO0160280R0003,2021-01-01,176.75182258064518
PO0160280R0003,2021-02-01,176.62489285714284
PO0160280R0003,2021-03-01,175.79512903225805
PO0160280R0003,2021-04-01,175.05725
PO0160280R0003,2021-05-01,174.9651111111111
PO016042NU0001,2012-05-03,198.05
PO016042NU0001,2012-06-08,197.8
PO016042NU0001,2012-07-16,197.1
PO016042NU0001,2012-08-20,197.21
PO016042NU0001,2012-09-27,196.2
PO016042NU0001,2012-10-15,197.3
PO016042NU0001,2012-11-29,197.69
PO016042NU0001,2012-12-05,197.4
PO016042NU0001,2013-01-03,197.73
PO016042NU0001,2013-02-08,198.13
PO016042NU0001,2013-03-08,198.31
PO016042NU0001,2013-04-10,198.27
PO016042NU0001,2013-05-17,198.7
PO016042NU0001,2013-06-14,196.07
PO016042NU0001,2013-07-19,195.44
PO016042NU0001,2013-08-20,197.55
PO016042NU0001,2013-09-13,197.68
PO016042NU0001,2013-10-09,198.15
PO016042NU0001,2013-11-28,198.21
PO016042NU0001,2013-12-11,198.3
PO016042NU0001,2014-01-31,198.83
PO016042NU0001,2014-02-14,198.93
PO016042NU0001,2014-03-07,198.97
PO016042NU0001,2014-04-16,199.16
PO016042NU0001,2014-05-13,199.54
PO016042NU0001,2014-06-17,198.84
PO016042NU0001,2014-07-28,199.02
PO016042NU0001,2014-08-25,199.08
PO016042NU0001,2014-09-30,199.08
PO016042NU0001,2014-10-21,199.16
PO016042NU0001,2014-11-25,199.31
PO016042NU0001,2014-12-18,199.55
PO016042NU0001,2015-01-29,199.87
PO016042NU0001,2015-02-26,199.81
PO016042NU0001,2015-03-26,199.99
PO016042NU0001,2015-04-14,199.63
PO016042NU0001,2015-05-20,199.79
PO016042NU0001,2015-06-23,199.69
PO016042NU0001,2015-07-23,199.18
PO016042NU0001,2015-08-14,198.66
PO016042NU0001,2015-09-18,199.14
PO016042NU0001,2015-10-19,199.02
PO016042NU0001,2015-11-27,199.24
PO016042NU0001,2015-12-01,199.16
PO016042NU0001,2016-01-18,199.04
PO016042NU0001,2016-02-24,198.96
PO016042NU0001,2016-03-08,199.09
PO016042NU0001,2016-04-01,199.1
PO016042NU0001,2016-05-30,198.83
PO016042NU0001,2016-06-17,198.95
PO016042NU0001,2016-07-26,198.55
PO016042NU0001,2016-08-29,198.73
PO016042NU0001,2016-09-19,198.67
PO016042NU0001,2016-10-26,198.59
PO016042NU0001,2016-11-25,198.66
PO016042NU0001,2016-12-02,198.66
PO016042NU0001,2017-01-13,198.85
PO016042NU0001,2017-02-10,198.53
PO016042NU0001,2017-03-02,198.53
PO016042NU0001,2017-04-14,196.5
PO016042NU0001,2017-05-29,196.49
PO016042NU0001,2017-06-16,197.97
PO016042NU0001,2017-07-14,198.11
PO016042NU0001,2019-12-17,196.45
PO016042NU0001,2020-10-06,197.28
PO016042NU0001,2021-01-21,197.8
PO016042NU0001,2021-02-05,197.85
PO016042NU0001,2021-03-05,197.78
PO016042NU0001,2017-08-01,197.1678947368421
PO016042NU0001,2017-09-01,197.6797222222222
PO016042NU0001,2017-10-01,197.96494623655911
PO016042NU0001,2017-11-01,198.02011111111108
PO016042NU0001,2017-12-01,197.91661290322585
PO016042NU0001,2018-01-01,197.8570967741935
PO016042NU0001,2018-02-01,197.84803571428571
PO016042NU0001,2018-03-01,197.87489247311828
PO016042NU0001,2018-04-01,197.9176111111111
PO016042NU0001,2018-05-01,197.83745454545456
PO016042NU0001,2018-06-01,196.89022222222223
PO016042NU0001,2018-07-01,196.783870967742
PO016042NU0001,2018-08-01,196.73962365591396
PO016042NU0001,2018-09-01,196.5559444444445
PO016042NU0001,2018-10-01,196.52736559139785
PO016042NU0001,2018-11-01,197.54594444444444
PO016042NU0001,2018-12-01,197.70758064516127
PO016042NU0001,2019-01-01,197.78405405405405
PO016042NU0001,2019-02-01,197.57541666666663
PO016042NU0001,2019-03-01,196.77215053763445
PO016042NU0001,2019-04-01,196.46766666666667
PO016042NU0001,2019-05-01,196.64059139784948
PO016042NU0001,2019-06-01,196.89033333333333
PO016042NU0001,2019-07-01,196.415
PO016042NU0001,2019-08-01,196.43268817204304
PO016042NU0001,2019-09-01,196.37433333333337
PO016042NU0001,2019-10-01,196.40157575757573
PO0160750U0003,2011-01-18,154.48
PO0160750U0003,2011-02-15,153.65
PO0160750U0003,2011-03-18,153.36
PO0160750U0003,2011-04-18,151.902
PO0160750U0003,2011-05-09,151.596
PO0160750U0003,2011-06-30,153.69
PO0160750U0003,2011-07-10,154.13
PO0160750U0003,2011-08-07,155.1
PO0160750U0003,2011-09-08,155.658
PO0160750U0003,2011-10-11,153.583
PO0160750U0003,2011-11-18,152.815
PO0160750U0003,2011-12-19,151.94
PO0160750U0003,2012-01-20,151.064
PO0160750U0003,2012-02-09,150.283
PO0160750U0003,2012-03-15,148.815
PO0160750U0003,2012-04-04,151.128
PO0160750U0003,2012-05-17,147.14
PO0160750U0003,2012-06-25,150.6
PO0160750U0003,2012-07-08,143.021
PO0160750U0003,2012-08-01,145.152
PO0160750U0003,2012-09-21,153.34
PO0160750U0003,2012-10-16,152.683
PO0160750U0003,2012-11-22,152.471
PO0160750U0003,2012-12-04,152.55
PO0160750U0003,2013-01-17,152.508
PO0160750U0003,2013-02-07,152.19
PO0160750U0003,2013-03-11,151.496
PO0160750U0003,2013-04-08,151.833
PO0160750U0003,2013-05-20,153.04
PO0160750U0003,2013-06-10,153.54
PO0160750U0003,2013-07-10,155.002
PO0160750U0003,2013-08-05,155.683
PO0160750U0003,2013-09-14,155.771
PO0160750U0003,2013-10-28,153.421
PO0160750U0003,2013-11-26,152.72
PO0160750U0003,2013-12-11,152.18
PO0160750U0003,2014-01-24,154.35
PO0160750U0003,2014-02-14,155.17
PO0160750U0003,2014-03-20,154.34
PO0160750U0003,2014-04-13,153.65
PO0160750U0003,2014-05-28,153.55
PO0160750U0003,2014-06-30,155.81
PO0160750U0003,2014-07-27,156.34
PO0160750U0003,2014-08-25,156.17
PO0160750U0003,2014-09-30,154.93
PO0160750U0003,2014-10-29,153.99
PO0160750U0003,2014-11-20,155.45
PO0160750U0003,2014-12-11,155.17
PO0160750U0003,2015-01-21,153.877
PO0160750U0003,2015-02-24,153.714
PO0160750U0003,2015-03-09,153.127
PO0160750U0003,2015-04-08,151.87
PO0160750U0003,2015-05-14,150.94
PO0160750U0003,2015-06-17,152.42
PO0160750U0003,2015-07-22,153.83
PO0160750U0003,2015-08-12,154.37
PO0160750U0003,2015-09-25,153.27
PO0160750U0003,2015-10-20,152.16
PO0160750U0003,2015-11-13,151.35
PO0160750U0003,2015-12-10,150.6
PO0160750U0003,2016-01-15,149.52
PO0160750U0003,2016-02-26,148.18
PO0160750U0003,2016-03-18,147.81
PO0160750U0003,2016-04-08,147.17
PO0160750U0003,2016-05-24,147.18
PO0160750U0003,2016-06-29,150.34
PO0160750U0003,2016-07-15,150.34
PO0160750U0003,2016-08-03,154.42
PO0160750U0003,2016-09-12,154.86
PO0160750U0003,2016-10-21,153.52
PO0160750U0003,2016-11-10,153.04
PO0160750U0003,2016-12-15,152.16
PO0160750U0003,2017-01-19,150.896
PO0160750U0003,2017-02-08,150.252
PO0160750U0003,2017-03-12,148.727
PO0160750U0003,2017-04-13,147.408
PO0160750U0003,2017-05-30,147.321
PO0160750U0003,2017-06-14,148.67
PO0160750U0003,2017-07-07,151.752
PO0160750U0003,2017-08-19,154.677
PO0160750U0003,2017-09-29,154.48
PO0160750U0003,2017-10-10,153.815
PO0160750U0003,2017-11-11,152.26
PO0160750U0003,2017-12-12,150.752
PO0160750U0003,2018-01-18,149.796
PO0160750U0003,2018-02-16,148.83
PO0160750U0003,2018-03-23,149.46
PO0160750U0003,2018-04-20,149.67
PO0160750U0003,2018-05-28,150.29
PO0160750U0003,2018-06-22,152.12
PO0160750U0003,2018-07-30,154.46
PO0160750U0003,2018-08-28,154.81
PO0160750U0003,2018-09-27,153.69
PO0160750U0003,2018-12-18,151.59
PO0160750U0003,2019-01-25,150.54
PO0160750U0003,2019-02-20,149.69
PO0160750U0003,2019-03-22,148.51
PO0160750U0003,2019-04-30,147.61
PO0160750U0003,2019-06-04,149.61
PO0160750U0003,2019-07-02,151.65
PO0160750U0003,2019-08-28,154.87
PO0160750U0003,2019-09-30,153.5
PO0160750U0003,2019-10-29,153.06
PO0160750U0003,2019-12-16,153.72
PO0160750U0003,2020-01-22,153.64
PO0160750U0003,2020-02-13,152.82
PO0160750U0003,2020-06-29,153.25
PO0160750U0003,2020-07-10,154.22
PO0160750U0003,2020-08-27,155.36
PO0160750U0003,2020-09-21,154.65
PO0160750U0003,2020-10-12,154.48
PO0160750U0003,2021-01-26,153.96
PO0160750U0003,2021-02-19,153.58
PO0160760R1284,2011-01-27,121.53
PO0160760R1284,2011-02-22,120.92
PO0160760R1284,2011-03-16,120.82
PO0160760R1284,2011-04-13,120.7
PO0160760R1284,2011-05-02,121.05
PO0160760R1284,2011-06-27,121.71
PO0160760R1284,2011-07-13,121.89
PO0160760R1284,2011-08-05,121.86
PO0160760R1284,2011-09-23,121.58
PO0160760R1284,2011-10-14,121.18
PO0160760R1284,2011-11-21,120.96
PO0160760R1284,2011-12-06,120.9
PO0160760R1284,2012-01-13,120.67
PO0160760R1284,2012-02-07,120.42
PO0160760R1284,2012-03-14,120.03
PO0160760R1284,2012-04-05,119.95
PO0160760R1284,2012-05-08,120.22
PO0160760R1284,2012-06-14,120.92
PO0160760R1284,2012-07-06,121.47
PO0160760R1284,2012-08-01,121.72
PO0160760R1284,2012-09-07,121.52
PO0160760R1284,2012-10-01,121.17
PO0160760R1284,2012-11-14,121.49
PO0160760R1284,2012-12-07,121.1
PO0160760R1284,2013-01-11,120.81
PO0160760R1284,2013-02-08,120.67
PO0160760R1284,2013-03-15,120.61
PO0160760R1284,2013-04-08,120.77
PO0160760R1284,2013-05-06,121.28
PO0160760R1284,2013-06-17,121.37
PO0160760R1284,2013-07-11,121.7
PO0160760R1284,2013-08-02,122.0
PO0160760R1284,2013-09-26,121.61
PO0160760R1284,2013-10-10,121.24
PO0160760R1284,2013-11-18,121.15
PO0160760R1284,2013-12-12,120.92
PO0160760R1284,2014-01-22,121.58
PO0160760R1284,2014-02-14,121.76
PO0160760R1284,2014-03-07,121.38
PO0160760R1284,2014-04-16,120.97
PO0160760R1284,2014-05-20,121.1
PO0160760R1284,2014-06-13,121.96
PO0160760R1284,2014-07-28,122.49
PO0160760R1284,2014-08-25,122.39
PO0160760R1284,2014-09-30,121.53
PO0160760R1284,2014-10-31,121.26
PO0160760R1284,2014-11-17,122.17
PO0160760R1284,2014-12-12,121.67
PO0160760R1284,2015-01-20,121.1
PO0160760R1284,2015-02-27,121.11
PO0160760R1284,2015-03-10,120.98
PO0160760R1284,2015-04-20,120.63
PO0160760R1284,2015-05-19,120.66
PO0160760R1284,2015-06-26,121.4
PO0160760R1284,2015-07-17,121.69
PO0160760R1284,2015-08-31,121.29
PO0160760R1284,2015-09-29,121.08
PO0160760R1284,2015-10-19,121.04
PO0160760R1284,2015-11-20,120.67
PO0160760R1284,2015-12-21,120.52
PO0160760R1284,2016-01-18,120.43
PO0160760R1284,2016-02-16,120.32
PO0160760R1284,2016-03-11,120.32
PO0160760R1284,2016-04-11,120.11
PO0160760R1284,2016-05-18,120.62
PO0160760R1284,2016-06-17,121.16
PO0160760R1284,2016-07-14,121.74
PO0160760R1284,2016-08-05,121.86
PO0160760R1284,2016-09-05,121.78
PO0160760R1284,2016-10-05,121.31
PO0160760R1284,2016-11-25,121.0
PO0160760R1284,2016-12-05,120.98
PO0160760R1284,2017-01-24,120.37
PO0160760R1284,2017-02-15,120.21
PO0160760R1284,2017-03-06,120.13
PO0160760R1284,2017-04-06,120.1
PO0160760R1284,2017-05-29,120.5
PO0160760R1284,2017-06-20,120.82
PO0160760R1284,2017-07-18,121.66
PO0160760R1284,2017-08-23,121.79
PO0160760R1284,2017-09-19,121.35
PO0160760R1284,2017-10-31,120.69
PO0160760R1284,2017-12-18,120.59
PO0160760R1284,2018-01-19,120.46
PO0160760R1284,2018-02-09,120.27
PO0160760R1284,2018-03-16,120.14
PO0160760R1284,2018-04-13,120.32
PO0160760R1284,2018-05-30,121.01
PO0160760R1284,2018-06-21,121.39
PO0160760R1284,2018-07-12,121.8
PO0160760R1284,2018-08-27,121.27
PO0160760R1284,2018-09-17,121.46
PO0160760R1284,2018-10-30,121.18
PO0160760R1284,2018-12-06,120.92
PO0160760R1284,2019-01-21,120.45
PO0160760R1284,2019-02-27,120.18
PO0160760R1284,2019-03-08,120.12
PO0160760R1284,2019-04-19,120.0
PO0160760R1284,2019-05-30,120.65
PO0160760R1284,2019-06-03,120.69
PO0160760R1284,2019-07-16,121.73
PO0160760R1284,2019-08-28,121.96
PO0160760R1284,2019-09-23,121.5
PO0160760R1284,2019-10-22,121.05
PO0160760R1284,2019-12-17,121.36
PO0160760R1284,2020-01-24,121.06
PO0160760R1284,2020-06-18,121.74
PO0160760R1284,2020-07-22,121.98
PO0160760R1284,2020-09-27,121.57
PO0160760R1284,2021-01-21,121.37
PO0160760R1284,2021-02-05,120.75
PO0160890R0001,2006-03-15,187.244
PO0160890R0001,2006-04-15,187.294
PO0160890R0001,2006-05-15,186.924
PO0160890R0001,2006-06-15,186.544
PO0160890R0001,2006-07-15,185.644
PO0160890R0001,2006-08-15,185.844
PO0160890R0001,2006-09-15,185.864
PO0160890R0001,2006-10-15,185.674
PO0160890R0001,2007-01-17,185.144
PO0160890R0001,2007-02-22,184.434
PO0160890R0001,2007-03-30,187.094
PO0160890R0001,2007-11-27,186.644
PO0160890R0001,2008-01-11,186.814
PO0160890R0001,2008-02-11,188.044
PO0160890R0001,2008-03-05,187.294
PO0160890R0001,2008-06-17,189.344
PO0160890R0001,2008-07-11,188.944
PO0160890R0001,2008-08-07,188.834
PO0160890R0001,2008-11-20,190.014
PO0160890R0001,2008-12-03,189.164
PO0160890R0001,2009-01-16,188.794
PO0160890R0001,2009-02-10,189.384
PO0160890R0001,2009-03-10,188.744
PO0160890R0001,2009-04-02,188.704
PO0160890R0001,2009-05-01,189.494
PO0160890R0001,2009-06-05,188.194
PO0160890R0001,2009-08-05,186.004
PO0160890R0001,2009-09-01,185.434
PO0160890R0001,2009-10-22,183.894
PO0160890R0001,2009-11-17,183.974
PO0160890R0001,2009-12-17,187.304
PO0160890R0001,2010-01-13,189.044
PO0160890R0001,2010-02-11,188.224
PO0160890R0001,2010-03-10,187.994
PO0160890R0001,2010-04-09,188.224
PO0160890R0001,2010-05-05,187.964
PO0160890R0001,2010-06-11,188.804
PO0160890R0001,2010-07-02,188.164
PO0160890R0001,2010-08-11,187.064
PO0160890R0001,2010-09-10,188.264
PO0160890R0001,2010-10-13,189.514
PO0160890R0001,2010-11-03,190.234
PO0160890R0001,2010-12-16,189.534
PO0160890R0001,2011-01-25,188.614
PO0160890R0001,2011-02-08,187.924
PO0160890R0001,2011-03-16,186.894
PO0160890R0001,2011-04-14,187.494
PO0160890R0001,2011-05-04,186.234
PO0160890R0001,2011-06-03,187.834
PO0160890R0001,2011-07-20,188.104
PO0160890R0001,2011-08-16,187.564
PO0160890R0001,2011-09-26,188.394
PO0160890R0001,2011-10-14,188.444
PO0160890R0001,2011-11-30,188.724
PO0160890R0001,2011-12-13,188.244
PO0160890R0001,2012-01-27,187.074
PO0160890R0001,2012-02-08,186.864
PO0160890R0001,2012-03-02,187.174
PO0160890R0001,2012-04-02,187.344
PO0160890R0001,2012-05-07,189.524
PO0160890R0001,2012-06-07,188.494
PO0160890R0001,2012-07-12,189.124
PO0160890R0001,2012-08-01,188.614
PO0160890R0001,2012-09-13,187.824
PO0160890R0001,2012-10-08,186.764
PO0160890R0001,2012-11-29,189.814
PO0160890R0001,2012-12-06,189.444
PO0160890R0001,2013-01-18,187.894
PO0160890R0001,2013-02-07,187.414
PO0160890R0001,2013-03-19,187.824
PO0160890R0001,2013-04-09,188.344
PO0160890R0001,2013-05-08,189.544
PO0160890R0001,2013-06-10,189.844
PO0160890R0001,2013-07-05,189.144
PO0160890R0001,2013-08-14,188.654
PO0160890R0001,2013-09-13,188.694
PO0160890R0001,2013-10-14,187.334
PO0160890R0001,2013-11-07,188.964
PO0160890R0001,2013-12-06,187.684
PO0160890R0001,2014-01-08,189.564
PO0160890R0001,2014-02-05,189.784
PO0160890R0001,2014-03-31,189.264
PO0160890R0001,2014-04-22,189.084
PO0160890R0001,2014-05-22,188.564
PO0160890R0001,2014-06-30,188.724
PO0160890R0001,2014-07-18,189.344
PO0160890R0001,2014-08-22,190.004
PO0160890R0001,2014-09-12,189.044
PO0160890R0001,2014-10-13,188.504
PO0160890R0001,2014-11-11,190.434
PO0160890R0001,2014-12-18,189.414
PO0160890R0001,2015-01-28,188.374
PO0160890R0001,2015-02-18,188.534
PO0160890R0001,2015-03-19,188.104
PO0160890R0001,2015-04-27,187.004
PO0160890R0001,2015-05-26,188.334
PO0160890R0001,2015-06-19,188.664
PO0160890R0001,2015-07-28,187.794
PO0160890R0001,2015-08-18,187.014
PO0160890R0001,2015-09-16,186.764
PO0160890R0001,2015-10-16,187.044
PO0160890R0001,2015-11-13,183.864
PO0160890R0001,2015-12-02,183.714
PO0160890R0001,2016-01-13,183.434
PO0160890R0001,2016-02-02,182.154
PO0160890R0001,2016-03-03,184.444
PO0160890R0001,2016-04-05,183.704
PO0160890R0001,2016-05-26,185.744
PO0160890R0001,2016-07-08,188.784
PO0160890R0001,2016-08-16,188.974
PO0160890R0001,2016-09-02,188.494
PO0160890R0001,2016-10-07,188.144
PO0160890R0001,2016-11-18,186.234
PO0160890R0001,2016-12-12,187.134
PO0160890R0001,2017-01-11,185.984
PO0160890R0001,2017-02-13,185.084
PO0160890R0001,2017-03-01,185.124
PO0160890R0001,2017-04-07,184.874
