CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_Milano1950,z_OLONA,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0160830R0001,,,3.0,BG,CORTENUOVA,IT03GWBISSAPAO_PO0160830R0001,2.0,,M,,,,,1561898.0,5042230.0,561871.0,5042210.0,2.0,130.43,130.43,,38.0,1.0,15.0,37.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.53067745157257,9.792361384126062,,,,,,,,,,,,
PO0160870R0001,,,3.0,BG,COVO,IT03GWBISSMPAO_PO0160870R0001,2.0,,M,,,,,1559535.0,5038855.0,559508.0,5038835.0,2.0,114.6,114.6,,30.0,1.0,20.0,25.0,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,Corpo idrico sotterraneo superficiale di Media pianura Bacino Adda - Oglio,,,PTUA2022,45.50050728707346,9.761692042200735,,,,,,,,,,,,
PO0160890R0001,,,3.0,BG,CURNO,IT03GWBISSAPAO_PO0160890R0001,3.0,1,M,2006-03-01,,,,1546246.0,5058675.0,546219.0,5058655.0,1.0,201.044,200.294,0.54,40.0,1.0,25.0,35.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.67990495348686,9.59348279335441,,,,,,,,,,,,
PO0160960U0001,,,3.0,BG,FARA GERA D'ADDA,IT03GWBISSAPAO_PO0160960U0001,2.0,,M,,,,,1541590.0,5044959.0,541563.0,5044939.0,2.0,131.0,131.0,,39.0,1.0,29.0,37.0,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.55674822493156,9.53252949500566,,,,,,,,,,,,
PO0160980R0009,,,3.0,BG,FILAGO,IT03GWBISSAPAO_PO0160980R0009,1.0,2,S,2010-01-01,,,PO0160720R0002,1541822.0,5054580.0,541795.0,5054560.0,1.0,202.836,202.836,0.0,70.0,1.0,50.0,70.0,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.6433289386173,9.536326293449562,,,,,,,,,,,,
PO0161010R0001,,,3.0,BG,FONTANELLA,IT03GWBISSMPAO_PO0161010R0001,2.0,,M,,,,,1563895.0,5036351.0,563868.0,5036331.0,2.0,110.02,110.02,,28.0,1.0,25.0,28.0,ANTINCENDIO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,Corpo idrico sotterraneo superficiale di Media pianura Bacino Adda - Oglio,,,PTUA2022,45.47758495570153,9.817167795954626,,,,,,,,,,,,
PO0161130R0001,,,3.0,BG,GHISALBA,IT03GWBISSAPAO_PO0161130R0001,2.0,,M,,,,,1559921.0,5049763.0,559894.0,5049743.0,2.0,169.0,169.0,,35.0,1.0,18.0,25.0,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.59864895039892,9.767968210543161,,,,,,,,,,,,
PO0161150R0118,,,3.0,BG,GORLE,IT03GWBISSAPAO_PO0161150R0118,2.0,,M,,,,,1555493.0,5060225.0,555466.0,5060205.0,2.0,261.5,261.5,,70.5,1.0,56.0,68.0,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.693176693081284,9.712389018466602,,,,,,,,,,,,
PO0161150U0002,,,3.0,BG,GORLE,IT03GWBISSAPAO_PO0161150U0002,1.0,1,M,2004-05-01,,,,1555777.0,5060403.0,555750.0,5060383.0,1.0,262.955,262.955,0.0,65.0,1.0,41.0,65.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.69475591340114,9.716056790232223,,,,,,,,,,,,
PO0161170R0112,,,3.0,BG,GRASSOBBIO,IT03GWBISSAPAO_PO0161170R0112,2.0,,M,,,,,1557640.0,5053380.0,557613.0,5053360.0,2.0,195.1,195.1,,53.0,1.0,10.0,53.0,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.63139555108782,9.739151016724117,,,,,,,,,,,,
PO016117NU0001,,,3.0,BG,GRASSOBBIO,IT03GWBISSAPAO_PO016117NU0001,1.0,1,S,2009-03-01,,,PO016117NR0001,1556849.0,5054086.0,556822.0,5054066.0,1.0,204.898,204.898,0.0,60.0,1.0,21.0,60.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.63781489354737,9.729086042964381,,,,,,,,,,,,
PO0161220R0519,,,3.0,BG,ISSO,IT03GWBISSMPAO_PO0161220R0519,3.0,1,M,2014-11-01,,,,1556780.0,5036747.0,556753.0,5036727.0,2.0,104.8,104.8,0.0,35.0,,,,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,Corpo idrico sotterraneo superficiale di Media pianura Bacino Adda - Oglio,,,PTUA2022,45.4817640796279,9.726187569574718,,,,,,,,,,,,
PO016123NU0001,,,3.0,BG,LALLIO,IT03GWBISSAPAO_PO016123NU0001,3.0,1,M,2012-05-01,,,,1548663.0,5057222.0,548636.0,5057202.0,1.0,216.8,216.8,0.0,60.0,1.0,55.0,60.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.66666204588214,9.62437142911532,,,,,,,,,,,,
PO0161260R0002,,,3.0,BG,LEVATE,IT03GWBISSAPAO_PO0161260R0002,2.0,,M,,,,,1549398.0,5052203.0,549371.0,5052183.0,2.0,183.3,183.3,,55.0,2.0,32.0,53.0,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.621437300498556,9.633297313952308,,,,,,,,,,,,
PO0161290R0001,,,3.0,BG,LURANO,IT03GWBISSAPAO_PO0161290R0001,3.0,1,M,2005-12-01,,,,1550487.0,5045663.0,550460.0,5045643.0,1.0,142.426,142.296,0.13,30.0,1.0,25.0,30.0,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.56249629421228,9.646589076661785,,,,,,,,,,,,
PO0161330R0158,,,3.0,BG,MARTINENGO,IT03GWBISSAPAO_PO0161330R0158,2.0,,M,,,,,1559095.0,5046594.0,559068.0,5046574.0,2.0,150.7,150.7,,34.5,,,,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.570197974603026,9.75699462519626,,,,,,,,,,,,
PO0161400R0001,,,3.0,BG,MORENGO,IT03GWBISSAPAO_PO0161400R0001,2.0,,M,,,,,1554070.0,5044692.0,554043.0,5044672.0,2.0,139.3,139.3,,35.0,1.0,17.0,32.0,ZOOTECNICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.553487833248816,9.692390644145737,,,,,,,,,,,,
PO0161530R0004,,,3.0,BG,OSIO SOTTO,IT03GWBISSAPAO_PO0161530R0004,1.0,1,M,2010-01-01,,,PO0161260U0105,1544489.0,5052062.0,544462.0,5052042.0,1.0,182.635,181.915,0.72,50.0,3.0,24.5,35.2,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.6204999406813,9.570318481987869,,,,,,,,,,,,
PO0161540R0001,,,3.0,BG,PAGAZZANO,IT03GWBISSAPAO_PO0161540R0001,2.0,,M,,,,,1553584.0,5042001.0,553557.0,5041981.0,1.0,122.91,122.73,0.18,42.0,2.0,21.0,42.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.52930526162241,9.685869971028492,,,,,,,,,,,,
PO0161570R3380,,,3.0,BG,PALOSCO,IT03GWBISSAPAO_PO0161570R3380,3.0,1,N,2002-02-01,,,,1564693.0,5047606.0,564666.0,5047586.0,1.0,149.671,149.501,0.17,48.0,1.0,35.0,44.0,DOMESTICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.578808143100645,9.828863366081787,,,,,,,,,,,,
