PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
BS,AZZANO MELLA - ARPA,4,C.na bonifica Nuova,1586806,5037145,101,,,1,,,,,,,98.42,,98.67,,,,,,,98.35,,98.5,,,98.36,98.42,98.2,,
BS,BAGNOLO MELLA - ASM,5,via Montegrappa,1593133,5030861,86,,,1,,,,,,83,,82.8,83.66,,,,,,80.75,82,81.7,,81.6,81.6,,,,,
BS,BAGNOLO MELLA - ASM,6,Pedrocca,1592295,5031974,89.02,,,2,,,,,,85.37,85.52,85.52,86.42,,,,,85.13,85.13,85.03,85.03,,85.08,85.13,85.13,,,,
BS,BEDIZZOLE - ASM,7,Bettoletto,1609377,5040733,149.9,,,2,,,,,,126.7,127.4,,128.6,,,,,125.4,124.3,124.5,125.3,127.5,126.9,129.2,129.6,127.9,,,
BS,BRESCIA - ASM,8,via Brianze,1596060,5046080,164.9,,X,2,,,,,,135.2,127.9,124.5,,,,,,,,,,,,,119.3,,,,
BS,CARPENEDOLO - ARPA,9,P. LAMETTA VIA ERCOLIANI,1612731,5025701,80.3,,,,,,,,,,77.92,,78.83,,,,,,,,,,,,,,,,
BS,CASTREZZATO - COGEME,10,via F.lli Cervi,1576452,5040679,129.5,,X,2,,,,,,,114.78,,,,,,,,,111.88,111.37,111.94,113.28,114.99,116.41,,,,
BS,CAZZAGO SAN MARTINO - COGEME,11,CALINO NUOVO,1580306,5049766,195,,,,,,,,,,112.84,,,,,,,,,,,,,,,,,,
BS,COLOGNE - ARPA,12,VIA BRESCIA,1573702,5047379,173.8,,,,,,,,,,,,133.37,,,,,,,,,,,,,,,,
BS,COMEZZANO-CIZZAGO - COGEME,13,Pozzo centro Cizzago,1574308,5035632,106.5,,X,1,,,,,,,104.51,,,,,,,,,104.23,103.97,104.46,104.26,104.88,105.34,,,,
BS,GAMBARA - ASM,15,via Fiesse,1603746,5011956,47.7,,,2,,,,,,42.5,,,,,,,,40.28,40.3,40.3,40.3,,40.3,39.5,41.7,,,,
BS,GHEDI - ARPA,16,VIA CARAVAGGIO,1600058,5027965,80.5,,,,,,,,,,78.31,,,,,,,,,,,,,,,,,,
BS,ISORELLA - ASM,17,P.ZA IV NOVEMBRE,1604050,5018573,57,,,,,,,,,54.07,,,,,,,,,,,,,,,,,,,
